# 
# Duration (in s): 10
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: calibration at 87.05 degrees pointing down with liquid nitrogen, temperature of horn is 28.39
1.581708030576807976e+09 -8.113000000000000211e-01 2.041999999999999886e+02
1.581708030701016903e+09 -8.125999999999999890e-01 2.017500000000000000e+02
1.581708030803360939e+09 -8.152000000000000357e-01 1.992599999999999909e+02
1.581708030903260946e+09 -8.198999999999999622e-01 1.992599999999999909e+02
1.581708031002265930e+09 -8.175999999999999934e-01 1.967800000000000011e+02
1.581708031102214098e+09 -7.982000000000000206e-01 1.943199999999999932e+02
1.581708031196237087e+09 -8.074000000000000066e-01 1.943199999999999932e+02
1.581708031301187992e+09 -7.913000000000000034e-01 1.916599999999999966e+02
1.581708031400250912e+09 -7.862000000000000099e-01 1.890099999999999909e+02
1.581708031500211000e+09 -7.821000000000000174e-01 1.862899999999999920e+02
1.581708031600131035e+09 -7.946999999999999620e-01 1.862899999999999920e+02
1.581708031710053921e+09 -7.995999999999999774e-01 1.835099999999999909e+02
1.581708031809788942e+09 -8.060000000000000497e-01 1.805099999999999909e+02
1.581708031909549952e+09 -8.044999999999999929e-01 1.805099999999999909e+02
1.581708032009318113e+09 -8.012000000000000233e-01 1.772700000000000102e+02
1.581708032112229109e+09 -8.026999999999999691e-01 1.738600000000000136e+02
1.581708032208806038e+09 -8.066999999999999726e-01 1.738600000000000136e+02
1.581708032308598042e+09 -8.061000000000000387e-01 1.703700000000000045e+02
1.581708032408351898e+09 -8.058999999999999497e-01 1.665600000000000023e+02
1.581708032524184942e+09 -8.056999999999999718e-01 1.623899999999999864e+02
1.581708032624051094e+09 -8.063000000000000167e-01 1.623899999999999864e+02
1.581708032724206924e+09 -8.064000000000000057e-01 1.578700000000000045e+02
1.581708032823154926e+09 -7.861000000000000210e-01 1.530399999999999920e+02
1.581708032923089981e+09 -7.778000000000000469e-01 1.530399999999999920e+02
1.581708033022207975e+09 -7.925999999999999712e-01 1.480500000000000114e+02
1.581708033117221117e+09 -8.007999999999999563e-01 1.428799999999999955e+02
1.581708033219343901e+09 -8.025999999999999801e-01 1.379499999999999886e+02
1.581708033318424940e+09 -7.990000000000000435e-01 1.379499999999999886e+02
1.581708033435185909e+09 -7.977999999999999536e-01 1.329900000000000091e+02
1.581708033535195112e+09 -7.823999999999999844e-01 1.279399999999999977e+02
1.581708033633999109e+09 -7.766999999999999460e-01 1.279399999999999977e+02
1.581708033731586933e+09 -7.729000000000000314e-01 1.228599999999999994e+02
1.581708033830415964e+09 -7.782999999999999918e-01 1.176899999999999977e+02
1.581708033932816982e+09 -7.946999999999999620e-01 1.176899999999999977e+02
1.581708034033068895e+09 -7.912000000000000144e-01 1.123100000000000023e+02
1.581708034132021904e+09 -7.990000000000000435e-01 1.067900000000000063e+02
1.581708034246128082e+09 -7.985999999999999766e-01 1.000300000000000011e+02
1.581708034342426062e+09 -8.015999999999999792e-01 1.000300000000000011e+02
1.581708034444834948e+09 -8.075999999999999845e-01 8.703700000000000614e+01
1.581708034544972897e+09 -8.025999999999999801e-01 8.004500000000000171e+01
1.581708034644830942e+09 -7.991000000000000325e-01 8.004500000000000171e+01
1.581708034743896961e+09 -7.952000000000000179e-01 7.914400000000000546e+01
1.581708034843743086e+09 -7.993999999999999995e-01 7.871899999999999409e+01
1.581708034944021940e+09 -7.931000000000000272e-01 7.848900000000000432e+01
1.581708035042923927e+09 -8.003000000000000114e-01 7.848900000000000432e+01
1.581708035156790018e+09 -8.083000000000000185e-01 7.834000000000000341e+01
1.581708035251558065e+09 -8.145000000000000018e-01 7.823699999999999477e+01
1.581708035351326942e+09 -7.940000000000000391e-01 7.823699999999999477e+01
1.581708035451088905e+09 -8.087999999999999634e-01 7.815999999999999659e+01
1.581708035549583912e+09 -8.084999999999999964e-01 7.810200000000000387e+01
1.581708035650181055e+09 -8.015999999999999792e-01 7.810200000000000387e+01
1.581708035750422001e+09 -8.034999999999999920e-01 7.806000000000000227e+01
1.581708035850106001e+09 -7.955999999999999739e-01 7.802100000000000080e+01
1.581708035949887991e+09 -8.016999999999999682e-01 7.798799999999999955e+01
1.581708036066272020e+09 -8.053000000000000158e-01 7.798799999999999955e+01
1.581708036165116072e+09 -7.886999999999999567e-01 7.796200000000000330e+01
1.581708036265794039e+09 -7.800000000000000266e-01 7.794100000000000250e+01
1.581708036365557909e+09 -7.843999999999999861e-01 7.794100000000000250e+01
1.581708036465322018e+09 -7.926999999999999602e-01 7.792300000000000182e+01
1.581708036564804077e+09 -7.943000000000000060e-01 7.790600000000000591e+01
1.581708036663218975e+09 -7.810000000000000275e-01 7.789199999999999591e+01
1.581708036764655113e+09 -7.973999999999999977e-01 7.789199999999999591e+01
1.581708036877605915e+09 -7.966999999999999638e-01 7.787600000000000477e+01
1.581708036973953962e+09 -8.007999999999999563e-01 7.786599999999999966e+01
1.581708037073024035e+09 -8.026999999999999691e-01 7.786599999999999966e+01
1.581708037176820040e+09 -8.060000000000000497e-01 7.785800000000000409e+01
1.581708037276705980e+09 -8.066999999999999726e-01 7.784600000000000364e+01
1.581708037375601053e+09 -8.091000000000000414e-01 7.784600000000000364e+01
1.581708037475632906e+09 -8.082000000000000295e-01 7.784300000000000352e+01
1.581708037575737000e+09 -8.065999999999999837e-01 7.783400000000000318e+01
1.581708037674791098e+09 -8.082000000000000295e-01 7.782699999999999818e+01
1.581708037788707018e+09 -8.103000000000000203e-01 7.782699999999999818e+01
1.581708037888484955e+09 -8.047999999999999599e-01 7.782500000000000284e+01
1.581708037987744093e+09 -8.025999999999999801e-01 7.781699999999999307e+01
1.581708038086899996e+09 -8.044000000000000039e-01 7.781699999999999307e+01
1.581708038186537027e+09 -8.051000000000000378e-01 7.781300000000000239e+01
1.581708038286499977e+09 -8.063000000000000167e-01 7.780899999999999750e+01
1.581708038381669998e+09 -8.005999999999999783e-01 7.780500000000000682e+01
1.581708038485377073e+09 -7.825999999999999623e-01 7.780500000000000682e+01
1.581708038585582972e+09 -7.707000000000000517e-01 7.780100000000000193e+01
1.581708038699446917e+09 -7.710000000000000187e-01 7.779600000000000648e+01
1.581708038798392057e+09 -7.701000000000000068e-01 7.779600000000000648e+01
1.581708038898499012e+09 -7.848000000000000531e-01 7.779600000000000648e+01
1.581708038992635965e+09 -7.937999999999999501e-01 7.778900000000000148e+01
1.581708039097538948e+09 -7.953000000000000069e-01 7.778900000000000148e+01
1.581708039197329998e+09 -7.937999999999999501e-01 7.778900000000000148e+01
1.581708039291924953e+09 -7.960000000000000409e-01 7.778600000000000136e+01
1.581708039393496990e+09 -7.810000000000000275e-01 7.778199999999999648e+01
1.581708039496485949e+09 -7.927999999999999492e-01 7.778199999999999648e+01
1.581708039591227055e+09 -7.721000000000000085e-01 7.777800000000000580e+01
1.581708039690937996e+09 -7.853999999999999870e-01 7.777700000000000102e+01
1.581708039807384968e+09 -7.956999999999999629e-01 7.777700000000000102e+01
1.581708039907052040e+09 -7.940000000000000391e-01 7.777500000000000568e+01
1.581708040006860018e+09 -7.792000000000000037e-01 7.776900000000000546e+01
1.581708040106615067e+09 -7.963000000000000078e-01 7.776900000000000546e+01
1.581708040204433918e+09 -7.875999999999999668e-01 7.776900000000000546e+01
1.581708040306147099e+09 -7.949000000000000510e-01 7.776500000000000057e+01
1.581708040405908108e+09 -7.983000000000000096e-01 7.776300000000000523e+01
1.581708040505676985e+09 -7.993000000000000105e-01 7.776300000000000523e+01
