# 
# Duration (in s): 10
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: we are doing calibration; pointing down at 86.2 degrees.
1.581707703691418886e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707703801361084e+09 -1.716000000000000025e-01 2.729800000000000182e+02
1.581707703895638943e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707703997597933e+09 -1.716999999999999915e-01 2.729900000000000091e+02
1.581707704100569010e+09 -1.716999999999999915e-01 2.729900000000000091e+02
1.581707704199352026e+09 -1.716999999999999915e-01 2.729900000000000091e+02
1.581707704299454927e+09 -1.716999999999999915e-01 2.729900000000000091e+02
1.581707704408890009e+09 -1.716999999999999915e-01 2.729900000000000091e+02
1.581707704508089066e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707704607182026e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707704708264112e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707704807985067e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707704907650948e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707705007468939e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707705107297897e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707705205260038e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707705306806087e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707705423218012e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707705522986889e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707705617049932e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707705722188950e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707705819577932e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707705919651985e+09 -1.716999999999999915e-01 2.729900000000000091e+02
1.581707706021339893e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707706120233059e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707706220356941e+09 -1.718000000000000083e-01 2.729900000000000091e+02
1.581707706334362030e+09 -1.716999999999999915e-01 2.729900000000000091e+02
1.581707706433235884e+09 -1.716999999999999915e-01 2.729900000000000091e+02
1.581707706533226013e+09 -1.718999999999999972e-01 2.729900000000000091e+02
1.581707706627002954e+09 -1.718000000000000083e-01 2.729900000000000091e+02
1.581707706731865883e+09 -1.718000000000000083e-01 2.729900000000000091e+02
1.581707706828108072e+09 -1.718000000000000083e-01 2.729900000000000091e+02
1.581707706925720930e+09 -1.716999999999999915e-01 2.729900000000000091e+02
1.581707707031163931e+09 -1.718000000000000083e-01 2.729900000000000091e+02
1.581707707130146980e+09 -1.718000000000000083e-01 2.729900000000000091e+02
1.581707707230083942e+09 -1.716999999999999915e-01 2.729900000000000091e+02
1.581707707338917971e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707707443048954e+09 -1.716999999999999915e-01 2.729900000000000091e+02
1.581707707539208889e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707707642879009e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707707742177963e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707707841905117e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707707941063881e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707708041280031e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707708155123949e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707708254004955e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707708348978996e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707708449460983e+09 -1.715000000000000135e-01 2.729900000000000091e+02
1.581707708548974991e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707708648096085e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707708746412992e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707708848321915e+09 -1.716000000000000025e-01 2.729900000000000091e+02
1.581707708948139906e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707709045470953e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707709160105944e+09 -1.718999999999999972e-01 2.730000000000000000e+02
1.581707709264918089e+09 -1.718999999999999972e-01 2.730000000000000000e+02
1.581707709359482050e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707709463562012e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707709563294888e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707709662133932e+09 -1.718999999999999972e-01 2.730000000000000000e+02
1.581707709762571096e+09 -1.718000000000000083e-01 2.729900000000000091e+02
1.581707709861150980e+09 -1.716000000000000025e-01 2.730000000000000000e+02
1.581707709970747948e+09 -1.716000000000000025e-01 2.730000000000000000e+02
1.581707710070429087e+09 -1.715000000000000135e-01 2.730000000000000000e+02
1.581707710169719934e+09 -1.716999999999999915e-01 2.730000000000000000e+02
1.581707710269531012e+09 -1.716999999999999915e-01 2.730000000000000000e+02
1.581707710374650955e+09 -1.716000000000000025e-01 2.730000000000000000e+02
1.581707710468379974e+09 -1.716999999999999915e-01 2.730000000000000000e+02
1.581707710573761940e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707710667506933e+09 -1.716000000000000025e-01 2.730000000000000000e+02
1.581707710767436028e+09 -1.716999999999999915e-01 2.730000000000000000e+02
1.581707710872860909e+09 -1.716999999999999915e-01 2.730000000000000000e+02
1.581707710980827093e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707711085525036e+09 -1.718999999999999972e-01 2.730000000000000000e+02
1.581707711185817003e+09 -1.716999999999999915e-01 2.730000000000000000e+02
1.581707711279721022e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707711382507086e+09 -1.716999999999999915e-01 2.730000000000000000e+02
1.581707711481333017e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707711583363056e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707711683855057e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707711782769918e+09 -1.718999999999999972e-01 2.730000000000000000e+02
1.581707711895894051e+09 -1.718999999999999972e-01 2.730099999999999909e+02
1.581707711996994019e+09 -1.718999999999999972e-01 2.730099999999999909e+02
1.581707712092240095e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707712195739985e+09 -1.718000000000000083e-01 2.730099999999999909e+02
1.581707712290070057e+09 -1.716999999999999915e-01 2.730099999999999909e+02
1.581707712389894962e+09 -1.718000000000000083e-01 2.730000000000000000e+02
1.581707712489196062e+09 -1.718000000000000083e-01 2.730099999999999909e+02
1.581707712589415073e+09 -1.716000000000000025e-01 2.730099999999999909e+02
1.581707712705821991e+09 -1.716000000000000025e-01 2.730099999999999909e+02
1.581707712805573940e+09 -1.716000000000000025e-01 2.730099999999999909e+02
1.581707712905345917e+09 -1.716999999999999915e-01 2.730099999999999909e+02
1.581707713003793001e+09 -1.715000000000000135e-01 2.730099999999999909e+02
1.581707713106594086e+09 -1.716999999999999915e-01 2.730099999999999909e+02
1.581707713204607964e+09 -1.716000000000000025e-01 2.730099999999999909e+02
1.581707713304368973e+09 -1.716000000000000025e-01 2.730099999999999909e+02
1.581707713403291941e+09 -1.716000000000000025e-01 2.730099999999999909e+02
1.581707713503952026e+09 -1.716999999999999915e-01 2.730099999999999909e+02
1.581707713618582010e+09 -1.716999999999999915e-01 2.730099999999999909e+02
