# 
# Duration (in s): 10
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 89.05
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: pointing at sky
1.581708252399312019e+09 -6.118000000000000105e-01 2.558499999999999943e+02
1.581708252491456985e+09 -6.116000000000000325e-01 2.558499999999999943e+02
1.581708252593302965e+09 -6.118000000000000105e-01 2.559000000000000057e+02
1.581708252702089071e+09 -6.118000000000000105e-01 2.559399999999999977e+02
1.581708252807084084e+09 -6.118000000000000105e-01 2.559399999999999977e+02
1.581708252901401997e+09 -6.126000000000000334e-01 2.559900000000000091e+02
1.581708253006210089e+09 -6.120999999999999774e-01 2.560299999999999727e+02
1.581708253102961063e+09 -6.117000000000000215e-01 2.560699999999999932e+02
1.581708253205122948e+09 -6.116000000000000325e-01 2.560699999999999932e+02
1.581708253303364038e+09 -6.118000000000000105e-01 2.561100000000000136e+02
1.581708253405057907e+09 -6.118999999999999995e-01 2.561499999999999773e+02
1.581708253504221916e+09 -6.118000000000000105e-01 2.561499999999999773e+02
1.581708253618069887e+09 -6.118000000000000105e-01 2.561899999999999977e+02
1.581708253718002081e+09 -6.118999999999999995e-01 2.562400000000000091e+02
1.581708253812462091e+09 -6.118000000000000105e-01 2.562799999999999727e+02
1.581708253912252903e+09 -6.118000000000000105e-01 2.562799999999999727e+02
1.581708254011981964e+09 -6.118000000000000105e-01 2.563199999999999932e+02
1.581708254111787081e+09 -6.118000000000000105e-01 2.563700000000000045e+02
1.581708254211535931e+09 -6.118000000000000105e-01 2.563700000000000045e+02
1.581708254311376095e+09 -6.117000000000000215e-01 2.564200000000000159e+02
1.581708254411078930e+09 -6.115000000000000435e-01 2.564599999999999795e+02
1.581708254527462006e+09 -6.117000000000000215e-01 2.564599999999999795e+02
1.581708254623586893e+09 -6.116000000000000325e-01 2.565099999999999909e+02
1.581708254726970911e+09 -6.112999999999999545e-01 2.565600000000000023e+02
1.581708254822124958e+09 -6.117000000000000215e-01 2.566000000000000227e+02
1.581708254927009106e+09 -6.117000000000000215e-01 2.566000000000000227e+02
1.581708255026266098e+09 -6.115000000000000435e-01 2.566399999999999864e+02
1.581708255125979900e+09 -6.110999999999999766e-01 2.566800000000000068e+02
1.581708255225748062e+09 -6.115000000000000435e-01 2.566800000000000068e+02
1.581708255321261883e+09 -6.117000000000000215e-01 2.567200000000000273e+02
1.581708255434146881e+09 -6.117000000000000215e-01 2.567699999999999818e+02
1.581708255538650036e+09 -6.117000000000000215e-01 2.568199999999999932e+02
1.581708255633330107e+09 -6.114000000000000545e-01 2.568199999999999932e+02
1.581708255737835884e+09 -6.116000000000000325e-01 2.568500000000000227e+02
1.581708255836975098e+09 -6.117000000000000215e-01 2.568999999999999773e+02
1.581708255937063932e+09 -6.115000000000000435e-01 2.568999999999999773e+02
1.581708256036686897e+09 -6.116000000000000325e-01 2.569300000000000068e+02
1.581708256135894060e+09 -6.118000000000000105e-01 2.569700000000000273e+02
1.581708256235866070e+09 -6.116000000000000325e-01 2.570199999999999818e+02
1.581708256348462105e+09 -6.117000000000000215e-01 2.570199999999999818e+02
1.581708256448909998e+09 -6.117000000000000215e-01 2.570699999999999932e+02
1.581708256548850060e+09 -6.115000000000000435e-01 2.571200000000000045e+02
1.581708256648014069e+09 -6.116000000000000325e-01 2.571200000000000045e+02
1.581708256747554064e+09 -6.117000000000000215e-01 2.571700000000000159e+02
1.581708256847752094e+09 -6.114000000000000545e-01 2.572099999999999795e+02
1.581708256946820021e+09 -6.115000000000000435e-01 2.572099999999999795e+02
1.581708257046705961e+09 -6.115000000000000435e-01 2.572500000000000000e+02
1.581708257145802975e+09 -6.115000000000000435e-01 2.572900000000000205e+02
1.581708257245824099e+09 -6.116000000000000325e-01 2.573299999999999841e+02
1.581708257359689951e+09 -6.115000000000000435e-01 2.573299999999999841e+02
1.581708257456276894e+09 -6.114000000000000545e-01 2.573700000000000045e+02
1.581708257558711052e+09 -6.116000000000000325e-01 2.574100000000000250e+02
1.581708257658708096e+09 -6.115000000000000435e-01 2.574100000000000250e+02
1.581708257752818108e+09 -6.117000000000000215e-01 2.574499999999999886e+02
1.581708257852835894e+09 -6.115000000000000435e-01 2.574900000000000091e+02
1.581708257957715034e+09 -6.117000000000000215e-01 2.574900000000000091e+02
1.581708258052366018e+09 -6.116000000000000325e-01 2.575299999999999727e+02
1.581708258152152061e+09 -6.116000000000000325e-01 2.575600000000000023e+02
1.581708258251406908e+09 -6.118000000000000105e-01 2.576000000000000227e+02
1.581708258367501020e+09 -6.118000000000000105e-01 2.576000000000000227e+02
1.581708258468048096e+09 -6.117000000000000215e-01 2.576399999999999864e+02
1.581708258567819118e+09 -6.117000000000000215e-01 2.576800000000000068e+02
1.581708258667589903e+09 -6.116000000000000325e-01 2.576800000000000068e+02
1.581708258767302036e+09 -6.116000000000000325e-01 2.577200000000000273e+02
1.581708258867188931e+09 -6.117000000000000215e-01 2.577599999999999909e+02
1.581708258966831923e+09 -6.117000000000000215e-01 2.578100000000000023e+02
1.581708259067641973e+09 -6.118000000000000105e-01 2.578100000000000023e+02
1.581708259166368961e+09 -6.118999999999999995e-01 2.578500000000000227e+02
1.581708259280613899e+09 -6.115000000000000435e-01 2.578899999999999864e+02
1.581708259380536079e+09 -6.115000000000000435e-01 2.578899999999999864e+02
1.581708259479517937e+09 -6.118000000000000105e-01 2.579300000000000068e+02
1.581708259579601049e+09 -6.115000000000000435e-01 2.579700000000000273e+02
1.581708259678539991e+09 -6.116000000000000325e-01 2.579700000000000273e+02
1.581708259778367996e+09 -6.116000000000000325e-01 2.580000000000000000e+02
1.581708259878473997e+09 -6.115000000000000435e-01 2.580299999999999727e+02
1.581708259977523088e+09 -6.117000000000000215e-01 2.580799999999999841e+02
1.581708260077348948e+09 -6.114000000000000545e-01 2.580799999999999841e+02
1.581708260191447973e+09 -6.112999999999999545e-01 2.581200000000000045e+02
1.581708260290482044e+09 -6.110999999999999766e-01 2.581700000000000159e+02
1.581708260386213064e+09 -6.109999999999999876e-01 2.581700000000000159e+02
1.581708260489470959e+09 -6.110999999999999766e-01 2.582099999999999795e+02
1.581708260589554071e+09 -6.111999999999999655e-01 2.582500000000000000e+02
1.581708260689287901e+09 -6.112999999999999545e-01 2.582900000000000205e+02
1.581708260788547039e+09 -6.112999999999999545e-01 2.582900000000000205e+02
1.581708260888295889e+09 -6.109999999999999876e-01 2.583299999999999841e+02
1.581708260987344980e+09 -6.112999999999999545e-01 2.583799999999999955e+02
