# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 85.35
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: pointing at sky (tenth of microwatt)
1.581708688729047060e+09 -6.085000000000000409e-01 2.726700000000000159e+02
1.581708688819508076e+09 -6.085000000000000409e-01 2.726700000000000159e+02
1.581708688919147015e+09 -6.085000000000000409e-01 2.726700000000000159e+02
1.581708689032984972e+09 -6.087000000000000188e-01 2.726700000000000159e+02
1.581708689132025957e+09 -6.085000000000000409e-01 2.726700000000000159e+02
1.581708689230397940e+09 -6.086000000000000298e-01 2.726700000000000159e+02
1.581708689326575041e+09 -6.086000000000000298e-01 2.726800000000000068e+02
1.581708689431142092e+09 -6.088999999999999968e-01 2.726800000000000068e+02
1.581708689526010036e+09 -6.087000000000000188e-01 2.726800000000000068e+02
1.581708689625885010e+09 -6.087000000000000188e-01 2.726800000000000068e+02
1.581708689725639105e+09 -6.087000000000000188e-01 2.726800000000000068e+02
1.581708689828974962e+09 -6.087000000000000188e-01 2.726800000000000068e+02
1.581708689941796064e+09 -6.086000000000000298e-01 2.726800000000000068e+02
1.581708690041555882e+09 -6.085000000000000409e-01 2.726800000000000068e+02
1.581708690141295910e+09 -6.086000000000000298e-01 2.726800000000000068e+02
1.581708690241966963e+09 -6.086000000000000298e-01 2.726800000000000068e+02
1.581708690340822935e+09 -6.085000000000000409e-01 2.726800000000000068e+02
1.581708690440592051e+09 -6.084000000000000519e-01 2.726800000000000068e+02
1.581708690540337086e+09 -6.085000000000000409e-01 2.726800000000000068e+02
1.581708690639905930e+09 -6.084000000000000519e-01 2.726800000000000068e+02
1.581708690754053116e+09 -6.084000000000000519e-01 2.726899999999999977e+02
1.581708690853871107e+09 -6.084000000000000519e-01 2.726899999999999977e+02
1.581708690952821016e+09 -6.085000000000000409e-01 2.726800000000000068e+02
1.581708691052892923e+09 -6.085000000000000409e-01 2.726800000000000068e+02
1.581708691152769089e+09 -6.087000000000000188e-01 2.726800000000000068e+02
1.581708691251874924e+09 -6.086000000000000298e-01 2.726899999999999977e+02
1.581708691351661921e+09 -6.089999999999999858e-01 2.726899999999999977e+02
