# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 80.00
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: pointing at sky (tenth of microwatt) 
1.581708816126104116e+09 -6.080999999999999739e-01 2.723399999999999750e+02
1.581708816241286039e+09 -6.082999999999999519e-01 2.723399999999999750e+02
1.581708816341166973e+09 -6.081999999999999629e-01 2.723399999999999750e+02
1.581708816441101074e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708816540184975e+09 -6.079999999999999849e-01 2.723500000000000227e+02
1.581708816640079021e+09 -6.084000000000000519e-01 2.723399999999999750e+02
1.581708816738979101e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708816839119911e+09 -6.084000000000000519e-01 2.723500000000000227e+02
1.581708816934529066e+09 -6.084000000000000519e-01 2.723500000000000227e+02
1.581708817037705898e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708817134598970e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708817251988888e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708817350960970e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708817450838089e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708817550026894e+09 -6.081999999999999629e-01 2.723500000000000227e+02
1.581708817645107031e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708817749965906e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708817848876953e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708817944200039e+09 -6.082999999999999519e-01 2.723600000000000136e+02
1.581708818048984051e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708818147954941e+09 -6.079999999999999849e-01 2.723600000000000136e+02
1.581708818261804104e+09 -6.080999999999999739e-01 2.723600000000000136e+02
1.581708818361916065e+09 -6.080999999999999739e-01 2.723600000000000136e+02
1.581708818460922956e+09 -6.080999999999999739e-01 2.723600000000000136e+02
1.581708818559639931e+09 -6.080999999999999739e-01 2.723600000000000136e+02
1.581708818659943104e+09 -6.080999999999999739e-01 2.723600000000000136e+02
1.581708818759984016e+09 -6.079999999999999849e-01 2.723600000000000136e+02
1.581708818859673023e+09 -6.078000000000000069e-01 2.723600000000000136e+02
1.581708818953962088e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708819058722973e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708819168315887e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708819268115044e+09 -6.082999999999999519e-01 2.723700000000000045e+02
1.581708819371154070e+09 -6.081999999999999629e-01 2.723700000000000045e+02
1.581708819467647076e+09 -6.082999999999999519e-01 2.723700000000000045e+02
1.581708819567420006e+09 -6.085000000000000409e-01 2.723700000000000045e+02
1.581708819670702934e+09 -6.086000000000000298e-01 2.723700000000000045e+02
1.581708819766923904e+09 -6.082999999999999519e-01 2.723700000000000045e+02
1.581708819866699934e+09 -6.081999999999999629e-01 2.723700000000000045e+02
1.581708819967912912e+09 -6.082999999999999519e-01 2.723700000000000045e+02
1.581708820082545042e+09 -6.080999999999999739e-01 2.723700000000000045e+02
1.581708820182585001e+09 -6.078999999999999959e-01 2.723700000000000045e+02
1.581708820276843071e+09 -6.080999999999999739e-01 2.723700000000000045e+02
1.581708820381757021e+09 -6.080999999999999739e-01 2.723700000000000045e+02
1.581708820481641054e+09 -6.080999999999999739e-01 2.723700000000000045e+02
1.581708820580703974e+09 -6.080999999999999739e-01 2.723700000000000045e+02
1.581708820680711031e+09 -6.080999999999999739e-01 2.723700000000000045e+02
1.581708820779726028e+09 -6.080999999999999739e-01 2.723700000000000045e+02
1.581708820878829002e+09 -6.080999999999999739e-01 2.723700000000000045e+02
1.581708820993036985e+09 -6.079999999999999849e-01 2.723700000000000045e+02
1.581708821092749119e+09 -6.081999999999999629e-01 2.723700000000000045e+02
1.581708821192370892e+09 -6.081999999999999629e-01 2.723700000000000045e+02
1.581708821292752028e+09 -6.080999999999999739e-01 2.723700000000000045e+02
1.581708821391633034e+09 -6.082999999999999519e-01 2.723700000000000045e+02
1.581708821491512060e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708821590578079e+09 -6.084000000000000519e-01 2.723700000000000045e+02
1.581708821685843945e+09 -6.082999999999999519e-01 2.723700000000000045e+02
1.581708821790627956e+09 -6.082999999999999519e-01 2.723700000000000045e+02
1.581708821889545918e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708822003529072e+09 -6.084000000000000519e-01 2.723600000000000136e+02
1.581708822103467941e+09 -6.084000000000000519e-01 2.723600000000000136e+02
1.581708822202447891e+09 -6.085000000000000409e-01 2.723700000000000045e+02
1.581708822302467108e+09 -6.084000000000000519e-01 2.723700000000000045e+02
1.581708822401644945e+09 -6.081999999999999629e-01 2.723700000000000045e+02
1.581708822498039007e+09 -6.085000000000000409e-01 2.723700000000000045e+02
1.581708822601787090e+09 -6.085000000000000409e-01 2.723700000000000045e+02
1.581708822700676918e+09 -6.082999999999999519e-01 2.723700000000000045e+02
1.581708822809694052e+09 -6.079999999999999849e-01 2.723700000000000045e+02
1.581708822914750099e+09 -6.081999999999999629e-01 2.723700000000000045e+02
1.581708823009232044e+09 -6.081999999999999629e-01 2.723700000000000045e+02
1.581708823109013081e+09 -6.080999999999999739e-01 2.723700000000000045e+02
1.581708823208914042e+09 -6.082999999999999519e-01 2.723700000000000045e+02
1.581708823308515072e+09 -6.081999999999999629e-01 2.723700000000000045e+02
1.581708823408257961e+09 -6.079999999999999849e-01 2.723700000000000045e+02
1.581708823508049011e+09 -6.079999999999999849e-01 2.723700000000000045e+02
1.581708823607784986e+09 -6.078999999999999959e-01 2.723700000000000045e+02
1.581708823707585096e+09 -6.082999999999999519e-01 2.723700000000000045e+02
1.581708823823964119e+09 -6.080999999999999739e-01 2.723700000000000045e+02
1.581708823923785925e+09 -6.082999999999999519e-01 2.723700000000000045e+02
1.581708824021925926e+09 -6.084000000000000519e-01 2.723700000000000045e+02
1.581708824120878935e+09 -6.081999999999999629e-01 2.723700000000000045e+02
1.581708824219037056e+09 -6.080999999999999739e-01 2.723700000000000045e+02
1.581708824322518110e+09 -6.080999999999999739e-01 2.723600000000000136e+02
1.581708824419298887e+09 -6.082999999999999519e-01 2.723600000000000136e+02
1.581708824519942045e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708824631349087e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708824735382080e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708824833736897e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708824934396982e+09 -6.082999999999999519e-01 2.723600000000000136e+02
1.581708825034410954e+09 -6.084000000000000519e-01 2.723600000000000136e+02
1.581708825134284973e+09 -6.085000000000000409e-01 2.723600000000000136e+02
1.581708825233349085e+09 -6.080999999999999739e-01 2.723600000000000136e+02
1.581708825333226919e+09 -6.082999999999999519e-01 2.723600000000000136e+02
1.581708825427519083e+09 -6.079999999999999849e-01 2.723600000000000136e+02
1.581708825530566931e+09 -6.080999999999999739e-01 2.723600000000000136e+02
1.581708825646152973e+09 -6.079999999999999849e-01 2.723600000000000136e+02
1.581708825745310068e+09 -6.078999999999999959e-01 2.723600000000000136e+02
1.581708825845201969e+09 -6.080999999999999739e-01 2.723600000000000136e+02
1.581708825944158077e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708826044246912e+09 -6.080999999999999739e-01 2.723600000000000136e+02
1.581708826144186974e+09 -6.079999999999999849e-01 2.723500000000000227e+02
1.581708826238780975e+09 -6.080999999999999739e-01 2.723500000000000227e+02
1.581708826343200922e+09 -6.081999999999999629e-01 2.723500000000000227e+02
1.581708826457175016e+09 -6.081999999999999629e-01 2.723500000000000227e+02
1.581708826556324005e+09 -6.081999999999999629e-01 2.723500000000000227e+02
1.581708826656341076e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708826750329018e+09 -6.081999999999999629e-01 2.723500000000000227e+02
1.581708826855361938e+09 -6.085000000000000409e-01 2.723500000000000227e+02
1.581708826955194950e+09 -6.081999999999999629e-01 2.723600000000000136e+02
1.581708827049635887e+09 -6.084000000000000519e-01 2.723500000000000227e+02
1.581708827152755022e+09 -6.081999999999999629e-01 2.723500000000000227e+02
1.581708827249344110e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708827348927021e+09 -6.084000000000000519e-01 2.723500000000000227e+02
1.581708827462306976e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708827565329075e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708827661830902e+09 -6.081999999999999629e-01 2.723500000000000227e+02
1.581708827761157990e+09 -6.081999999999999629e-01 2.723500000000000227e+02
1.581708827864379883e+09 -6.082999999999999519e-01 2.723500000000000227e+02
1.581708827962336063e+09 -6.084000000000000519e-01 2.723500000000000227e+02
1.581708828063869953e+09 -6.081999999999999629e-01 2.723500000000000227e+02
1.581708828163630962e+09 -6.084000000000000519e-01 2.723500000000000227e+02
1.581708828263441086e+09 -6.079999999999999849e-01 2.723500000000000227e+02
1.581708828376049042e+09 -6.082999999999999519e-01 2.723500000000000227e+02
