# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 74.95
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: pointing at sky (tenth ofmicrowatt) 
1.581708984779103041e+09 -6.042999999999999483e-01 2.723299999999999841e+02
1.581708984880646944e+09 -6.042999999999999483e-01 2.723299999999999841e+02
1.581708984980465889e+09 -6.045000000000000373e-01 2.723299999999999841e+02
1.581708985080748081e+09 -6.047000000000000153e-01 2.723299999999999841e+02
1.581708985179831982e+09 -6.045000000000000373e-01 2.723299999999999841e+02
1.581708985276804924e+09 -6.045000000000000373e-01 2.723299999999999841e+02
1.581708985378834963e+09 -6.045000000000000373e-01 2.723299999999999841e+02
1.581708985490178108e+09 -6.046000000000000263e-01 2.723299999999999841e+02
1.581708985592788935e+09 -6.044000000000000483e-01 2.723299999999999841e+02
1.581708985689694881e+09 -6.046000000000000263e-01 2.723299999999999841e+02
1.581708985789469957e+09 -6.046000000000000263e-01 2.723299999999999841e+02
1.581708985889238119e+09 -6.047000000000000153e-01 2.723299999999999841e+02
1.581708985988989115e+09 -6.045000000000000373e-01 2.723299999999999841e+02
1.581708986090760946e+09 -6.046000000000000263e-01 2.723299999999999841e+02
1.581708986184897900e+09 -6.045000000000000373e-01 2.723299999999999841e+02
1.581708986288304090e+09 -6.042999999999999483e-01 2.723299999999999841e+02
1.581708986403666973e+09 -6.041999999999999593e-01 2.723299999999999841e+02
1.581708986503797054e+09 -6.042999999999999483e-01 2.723299999999999841e+02
1.581708986601032972e+09 -6.044000000000000483e-01 2.723299999999999841e+02
1.581708986702613115e+09 -6.041999999999999593e-01 2.723299999999999841e+02
1.581708986799288988e+09 -6.045000000000000373e-01 2.723299999999999841e+02
1.581708986901446104e+09 -6.044000000000000483e-01 2.723399999999999750e+02
1.581708987001645088e+09 -6.044000000000000483e-01 2.723399999999999750e+02
1.581708987100665092e+09 -6.038999999999999924e-01 2.723399999999999750e+02
1.581708987214553118e+09 -6.040999999999999703e-01 2.723399999999999750e+02
