# 
# Duration (in s): 10
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 54.95
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: pointing at sky (tenth microwatt) 
1.581709600647598028e+09 -6.040999999999999703e-01 2.717400000000000091e+02
1.581709600762851000e+09 -6.041999999999999593e-01 2.717400000000000091e+02
1.581709600862596989e+09 -6.042999999999999483e-01 2.717400000000000091e+02
1.581709600964340925e+09 -6.041999999999999593e-01 2.717400000000000091e+02
1.581709601062153101e+09 -6.041999999999999593e-01 2.717400000000000091e+02
1.581709601161916018e+09 -6.041999999999999593e-01 2.717400000000000091e+02
1.581709601263108015e+09 -6.041999999999999593e-01 2.717400000000000091e+02
1.581709601361392975e+09 -6.042999999999999483e-01 2.717400000000000091e+02
1.581709601461157084e+09 -6.039999999999999813e-01 2.717400000000000091e+02
1.581709601576139927e+09 -6.040999999999999703e-01 2.717500000000000000e+02
1.581709601672511101e+09 -6.039999999999999813e-01 2.717500000000000000e+02
1.581709601775069952e+09 -6.038999999999999924e-01 2.717500000000000000e+02
1.581709601875152111e+09 -6.038999999999999924e-01 2.717500000000000000e+02
1.581709601975229979e+09 -6.040999999999999703e-01 2.717500000000000000e+02
1.581709602074223995e+09 -6.040999999999999703e-01 2.717500000000000000e+02
1.581709602169961929e+09 -6.039999999999999813e-01 2.717500000000000000e+02
1.581709602274113894e+09 -6.038999999999999924e-01 2.717500000000000000e+02
1.581709602373253107e+09 -6.038999999999999924e-01 2.717500000000000000e+02
1.581709602473084927e+09 -6.039999999999999813e-01 2.717500000000000000e+02
1.581709602586076975e+09 -6.039999999999999813e-01 2.717500000000000000e+02
1.581709602686041117e+09 -6.038999999999999924e-01 2.717500000000000000e+02
1.581709602785990953e+09 -6.039999999999999813e-01 2.717500000000000000e+02
1.581709602885178089e+09 -6.041999999999999593e-01 2.717500000000000000e+02
1.581709602984972000e+09 -6.038999999999999924e-01 2.717500000000000000e+02
1.581709603084160089e+09 -6.042999999999999483e-01 2.717500000000000000e+02
1.581709603179203033e+09 -6.038999999999999924e-01 2.717500000000000000e+02
1.581709603284106016e+09 -6.040999999999999703e-01 2.717500000000000000e+02
1.581709603382987022e+09 -6.044000000000000483e-01 2.717599999999999909e+02
1.581709603496850014e+09 -6.040999999999999703e-01 2.717599999999999909e+02
1.581709603597155094e+09 -6.042999999999999483e-01 2.717599999999999909e+02
1.581709603693301916e+09 -6.040999999999999703e-01 2.717599999999999909e+02
1.581709603796111107e+09 -6.039999999999999813e-01 2.717599999999999909e+02
1.581709603894953966e+09 -6.040999999999999703e-01 2.717599999999999909e+02
1.581709603995037079e+09 -6.039999999999999813e-01 2.717599999999999909e+02
1.581709604094894886e+09 -6.040999999999999703e-01 2.717599999999999909e+02
1.581709604191220045e+09 -6.039999999999999813e-01 2.717599999999999909e+02
1.581709604304424047e+09 -6.041999999999999593e-01 2.717599999999999909e+02
1.581709604404190063e+09 -6.038999999999999924e-01 2.717599999999999909e+02
1.581709604503950119e+09 -6.039999999999999813e-01 2.717599999999999909e+02
1.581709604603729963e+09 -6.039999999999999813e-01 2.717599999999999909e+02
1.581709604703494072e+09 -6.038999999999999924e-01 2.717699999999999818e+02
1.581709604803256035e+09 -6.038999999999999924e-01 2.717599999999999909e+02
1.581709604903104067e+09 -6.040999999999999703e-01 2.717599999999999909e+02
1.581709605002813101e+09 -6.038999999999999924e-01 2.717699999999999818e+02
1.581709605102560043e+09 -6.039999999999999813e-01 2.717699999999999818e+02
1.581709605202310085e+09 -6.041999999999999593e-01 2.717699999999999818e+02
1.581709605302078962e+09 -6.041999999999999593e-01 2.717699999999999818e+02
1.581709605417860985e+09 -6.040999999999999703e-01 2.717699999999999818e+02
1.581709605516751051e+09 -6.041999999999999593e-01 2.717699999999999818e+02
1.581709605616873026e+09 -6.040999999999999703e-01 2.717699999999999818e+02
1.581709605713864088e+09 -6.039999999999999813e-01 2.717699999999999818e+02
1.581709605815778017e+09 -6.040999999999999703e-01 2.717699999999999818e+02
1.581709605915813923e+09 -6.040999999999999703e-01 2.717699999999999818e+02
1.581709606015852928e+09 -6.041999999999999593e-01 2.717699999999999818e+02
1.581709606114902973e+09 -6.042999999999999483e-01 2.717699999999999818e+02
1.581709606214730978e+09 -6.042999999999999483e-01 2.717699999999999818e+02
1.581709606313766956e+09 -6.041999999999999593e-01 2.717699999999999818e+02
1.581709606427792072e+09 -6.039999999999999813e-01 2.717799999999999727e+02
1.581709606527698994e+09 -6.041999999999999593e-01 2.717799999999999727e+02
1.581709606626791954e+09 -6.040999999999999703e-01 2.717799999999999727e+02
1.581709606726845980e+09 -6.041999999999999593e-01 2.717799999999999727e+02
1.581709606826693058e+09 -6.039999999999999813e-01 2.717799999999999727e+02
1.581709606925791025e+09 -6.041999999999999593e-01 2.717799999999999727e+02
1.581709607025738955e+09 -6.041999999999999593e-01 2.717799999999999727e+02
1.581709607124808073e+09 -6.042999999999999483e-01 2.717799999999999727e+02
1.581709607224745989e+09 -6.041999999999999593e-01 2.717799999999999727e+02
1.581709607338706970e+09 -6.040999999999999703e-01 2.717799999999999727e+02
1.581709607438625097e+09 -6.042999999999999483e-01 2.717799999999999727e+02
1.581709607537632942e+09 -6.041999999999999593e-01 2.717799999999999727e+02
1.581709607637670994e+09 -6.044000000000000483e-01 2.717799999999999727e+02
1.581709607736694098e+09 -6.044000000000000483e-01 2.717900000000000205e+02
1.581709607836604118e+09 -6.044000000000000483e-01 2.717900000000000205e+02
1.581709607936606884e+09 -6.046000000000000263e-01 2.717900000000000205e+02
1.581709608035562038e+09 -6.042999999999999483e-01 2.717900000000000205e+02
1.581709608135566950e+09 -6.047000000000000153e-01 2.717900000000000205e+02
1.581709608245062113e+09 -6.048000000000000043e-01 2.717900000000000205e+02
1.581709608344822884e+09 -6.048999999999999932e-01 2.717900000000000205e+02
1.581709608444593906e+09 -6.048000000000000043e-01 2.717900000000000205e+02
1.581709608544357061e+09 -6.052999999999999492e-01 2.717900000000000205e+02
1.581709608647571087e+09 -6.051999999999999602e-01 2.717900000000000205e+02
1.581709608743890047e+09 -6.051999999999999602e-01 2.717900000000000205e+02
1.581709608843622923e+09 -6.050999999999999712e-01 2.718000000000000114e+02
1.581709608943414927e+09 -6.052999999999999492e-01 2.718000000000000114e+02
1.581709609043205976e+09 -6.052999999999999492e-01 2.718000000000000114e+02
1.581709609159575939e+09 -6.055000000000000382e-01 2.718000000000000114e+02
1.581709609259346008e+09 -6.054000000000000492e-01 2.718000000000000114e+02
1.581709609358536005e+09 -6.051999999999999602e-01 2.718000000000000114e+02
1.581709609458489895e+09 -6.049999999999999822e-01 2.718000000000000114e+02
1.581709609557549953e+09 -6.049999999999999822e-01 2.718000000000000114e+02
1.581709609657531023e+09 -6.049999999999999822e-01 2.718000000000000114e+02
1.581709609757370949e+09 -6.046000000000000263e-01 2.718000000000000114e+02
1.581709609856627941e+09 -6.046000000000000263e-01 2.718000000000000114e+02
1.581709609970423937e+09 -6.047000000000000153e-01 2.718000000000000114e+02
1.581709610070406914e+09 -6.039999999999999813e-01 2.718000000000000114e+02
1.581709610169450045e+09 -6.038000000000000034e-01 2.718100000000000023e+02
1.581709610269464016e+09 -6.052999999999999492e-01 2.718100000000000023e+02
1.581709610369304895e+09 -6.058999999999999941e-01 2.718100000000000023e+02
1.581709610468406916e+09 -6.057000000000000162e-01 2.718100000000000023e+02
1.581709610568478107e+09 -6.057000000000000162e-01 2.718100000000000023e+02
