# 
# Duration (in s): 10
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 50.15
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: pointing at sky ( microwatt)
1.581709791783010960e+09 -5.504000000000000004e-01 2.718399999999999750e+02
1.581709791899108887e+09 -6.000999999999999668e-01 2.718399999999999750e+02
1.581709791998090982e+09 -6.008000000000000007e-01 2.718399999999999750e+02
1.581709792108565092e+09 -5.966000000000000192e-01 2.718399999999999750e+02
1.581709792208333969e+09 -6.018999999999999906e-01 2.718399999999999750e+02
1.581709792308104992e+09 -6.059999999999999831e-01 2.718399999999999750e+02
1.581709792407835007e+09 -6.068000000000000060e-01 2.718399999999999750e+02
1.581709792507628918e+09 -6.069999999999999840e-01 2.718399999999999750e+02
1.581709792607391119e+09 -6.058999999999999941e-01 2.718399999999999750e+02
1.581709792707182884e+09 -5.983000000000000540e-01 2.718399999999999750e+02
1.581709792806869984e+09 -5.565999999999999837e-01 2.718299999999999841e+02
1.581709792923038960e+09 -5.261000000000000121e-01 2.718399999999999750e+02
1.581709793023005009e+09 -6.049999999999999822e-01 2.718399999999999750e+02
1.581709793122126102e+09 -6.052999999999999492e-01 2.718299999999999841e+02
1.581709793221990108e+09 -6.062999999999999501e-01 2.718399999999999750e+02
1.581709793321160078e+09 -6.066000000000000281e-01 2.718299999999999841e+02
1.581709793420927048e+09 -6.037000000000000144e-01 2.718299999999999841e+02
1.581709793520993948e+09 -5.927999999999999936e-01 2.718299999999999841e+02
1.581709793620999098e+09 -6.075000000000000400e-01 2.718399999999999750e+02
1.581709793720041990e+09 -6.024000000000000465e-01 2.718399999999999750e+02
1.581709793833795071e+09 -5.943000000000000504e-01 2.718299999999999841e+02
1.581709793933767080e+09 -6.050999999999999712e-01 2.718299999999999841e+02
1.581709794032778025e+09 -6.067000000000000171e-01 2.718299999999999841e+02
1.581709794132792950e+09 -5.947999999999999954e-01 2.718299999999999841e+02
1.581709794231959105e+09 -6.062999999999999501e-01 2.718299999999999841e+02
1.581709794332061052e+09 -6.085000000000000409e-01 2.718299999999999841e+02
1.581709794431026936e+09 -6.071999999999999620e-01 2.718299999999999841e+02
1.581709794530952930e+09 -6.031999999999999584e-01 2.718299999999999841e+02
1.581709794644793987e+09 -5.426999999999999602e-01 2.718299999999999841e+02
1.581709794744973898e+09 -5.563000000000000167e-01 2.718299999999999841e+02
1.581709794844053984e+09 -5.032999999999999696e-01 2.718299999999999841e+02
1.581709794943777084e+09 -5.987000000000000099e-01 2.718299999999999841e+02
1.581709795042871952e+09 -6.068000000000000060e-01 2.718299999999999841e+02
1.581709795142800093e+09 -6.071999999999999620e-01 2.718299999999999841e+02
1.581709795242676973e+09 -5.990999999999999659e-01 2.718299999999999841e+02
1.581709795341970921e+09 -5.966000000000000192e-01 2.718299999999999841e+02
1.581709795441728115e+09 -6.071999999999999620e-01 2.718299999999999841e+02
1.581709795555773973e+09 -6.027000000000000135e-01 2.718299999999999841e+02
1.581709795650151968e+09 -6.085000000000000409e-01 2.718299999999999841e+02
1.581709795749943018e+09 -5.793000000000000371e-01 2.718299999999999841e+02
1.581709795849739075e+09 -6.058000000000000052e-01 2.718299999999999841e+02
1.581709795949440956e+09 -6.061999999999999611e-01 2.718299999999999841e+02
1.581709796049187899e+09 -6.067000000000000171e-01 2.718299999999999841e+02
1.581709796148979902e+09 -6.071999999999999620e-01 2.718299999999999841e+02
1.581709796248753071e+09 -6.079999999999999849e-01 2.718299999999999841e+02
1.581709796348531008e+09 -6.076000000000000290e-01 2.718199999999999932e+02
1.581709796448275089e+09 -6.058000000000000052e-01 2.718199999999999932e+02
1.581709796560626030e+09 -6.032999999999999474e-01 2.718199999999999932e+02
1.581709796664422989e+09 -6.025000000000000355e-01 2.718199999999999932e+02
1.581709796762012005e+09 -6.028000000000000025e-01 2.718199999999999932e+02
1.581709796863967896e+09 -6.017000000000000126e-01 2.718199999999999932e+02
1.581709796963716984e+09 -6.022999999999999465e-01 2.718199999999999932e+02
1.581709797063456059e+09 -6.037000000000000144e-01 2.718199999999999932e+02
1.581709797162851095e+09 -6.051999999999999602e-01 2.718199999999999932e+02
1.581709797262696028e+09 -6.068000000000000060e-01 2.718199999999999932e+02
1.581709797361658096e+09 -5.999999999999999778e-01 2.718100000000000023e+02
1.581709797475692987e+09 -5.765000000000000124e-01 2.718100000000000023e+02
1.581709797575491905e+09 -6.038000000000000034e-01 2.718100000000000023e+02
1.581709797675719023e+09 -6.077000000000000179e-01 2.718100000000000023e+02
1.581709797774725914e+09 -6.081999999999999629e-01 2.718100000000000023e+02
1.581709797874816895e+09 -6.080999999999999739e-01 2.718100000000000023e+02
1.581709797973753929e+09 -6.082999999999999519e-01 2.718100000000000023e+02
1.581709798073709965e+09 -6.048999999999999932e-01 2.718000000000000114e+02
1.581709798173698902e+09 -6.030999999999999694e-01 2.718000000000000114e+02
1.581709798272669077e+09 -6.056000000000000272e-01 2.718000000000000114e+02
1.581709798386601925e+09 -6.054000000000000492e-01 2.718000000000000114e+02
1.581709798486728907e+09 -6.058999999999999941e-01 2.718000000000000114e+02
1.581709798585643053e+09 -6.055000000000000382e-01 2.718000000000000114e+02
1.581709798685597897e+09 -6.008000000000000007e-01 2.717900000000000205e+02
1.581709798784548044e+09 -6.041999999999999593e-01 2.718000000000000114e+02
1.581709798884538889e+09 -6.028000000000000025e-01 2.718000000000000114e+02
1.581709798984595060e+09 -6.078999999999999959e-01 2.717900000000000205e+02
1.581709799083553076e+09 -6.072999999999999510e-01 2.717900000000000205e+02
1.581709799183695078e+09 -6.080999999999999739e-01 2.717900000000000205e+02
1.581709799283453941e+09 -5.951999999999999513e-01 2.717900000000000205e+02
1.581709799396588087e+09 -6.081999999999999629e-01 2.717900000000000205e+02
1.581709799496339083e+09 -6.081999999999999629e-01 2.717799999999999727e+02
