# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 40.00
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: pointing at sky (tens microwatt)
1.581710206380208969e+09 -6.107000000000000206e-01 2.714800000000000182e+02
1.581710206505373955e+09 -6.106000000000000316e-01 2.714900000000000091e+02
1.581710206604446888e+09 -6.107000000000000206e-01 2.714900000000000091e+02
1.581710206704452038e+09 -6.108000000000000096e-01 2.714800000000000182e+02
1.581710206803461075e+09 -6.109999999999999876e-01 2.714800000000000182e+02
1.581710206903310061e+09 -6.108000000000000096e-01 2.714800000000000182e+02
1.581710207003446102e+09 -6.114000000000000545e-01 2.714800000000000182e+02
1.581710207117630005e+09 -6.114000000000000545e-01 2.714800000000000182e+02
1.581710207216485023e+09 -6.115000000000000435e-01 2.714800000000000182e+02
1.581710207311311007e+09 -6.111999999999999655e-01 2.714800000000000182e+02
1.581710207415179968e+09 -6.114000000000000545e-01 2.714800000000000182e+02
1.581710207511090994e+09 -6.114000000000000545e-01 2.714800000000000182e+02
1.581710207614965916e+09 -6.112999999999999545e-01 2.714800000000000182e+02
1.581710207714448929e+09 -6.111999999999999655e-01 2.714800000000000182e+02
1.581710207814418077e+09 -6.112999999999999545e-01 2.714800000000000182e+02
1.581710207913278103e+09 -6.115000000000000435e-01 2.714800000000000182e+02
1.581710208027441025e+09 -6.116000000000000325e-01 2.714700000000000273e+02
1.581710208127278090e+09 -6.117000000000000215e-01 2.714700000000000273e+02
1.581710208227344990e+09 -6.116000000000000325e-01 2.714700000000000273e+02
1.581710208326308966e+09 -6.117000000000000215e-01 2.714700000000000273e+02
1.581710208426409960e+09 -6.116000000000000325e-01 2.714700000000000273e+02
1.581710208525290966e+09 -6.118000000000000105e-01 2.714700000000000273e+02
1.581710208625245094e+09 -6.117000000000000215e-01 2.714700000000000273e+02
1.581710208719507933e+09 -6.116000000000000325e-01 2.714599999999999795e+02
1.581710208835899115e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710208935669899e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710209035427094e+09 -6.117000000000000215e-01 2.714599999999999795e+02
1.581710209135214090e+09 -6.116000000000000325e-01 2.714599999999999795e+02
1.581710209234961033e+09 -6.115000000000000435e-01 2.714599999999999795e+02
1.581710209331075907e+09 -6.117000000000000215e-01 2.714599999999999795e+02
1.581710209431107998e+09 -6.114000000000000545e-01 2.714599999999999795e+02
1.581710209533942938e+09 -6.114000000000000545e-01 2.714599999999999795e+02
1.581710209634011984e+09 -6.116000000000000325e-01 2.714599999999999795e+02
1.581710209729763031e+09 -6.116000000000000325e-01 2.714599999999999795e+02
1.581710209849245071e+09 -6.116000000000000325e-01 2.714599999999999795e+02
1.581710209945113897e+09 -6.114000000000000545e-01 2.714599999999999795e+02
1.581710210043776989e+09 -6.117000000000000215e-01 2.714599999999999795e+02
1.581710210147146940e+09 -6.117000000000000215e-01 2.714599999999999795e+02
1.581710210247092962e+09 -6.118999999999999995e-01 2.714599999999999795e+02
1.581710210347157955e+09 -6.117000000000000215e-01 2.714599999999999795e+02
1.581710210446561098e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710210546174049e+09 -6.118999999999999995e-01 2.714599999999999795e+02
1.581710210655839920e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710210754287004e+09 -6.119999999999999885e-01 2.714599999999999795e+02
1.581710210859164000e+09 -6.116000000000000325e-01 2.714599999999999795e+02
1.581710210953488111e+09 -6.118999999999999995e-01 2.714599999999999795e+02
1.581710211058186054e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710211158021927e+09 -6.119999999999999885e-01 2.714599999999999795e+02
1.581710211254836082e+09 -6.119999999999999885e-01 2.714599999999999795e+02
1.581710211354305029e+09 -6.119999999999999885e-01 2.714599999999999795e+02
1.581710211456053019e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710211556128979e+09 -6.117000000000000215e-01 2.714599999999999795e+02
1.581710211667603970e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710211769017935e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710211869107962e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710211966140032e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710212067965984e+09 -6.116000000000000325e-01 2.714599999999999795e+02
1.581710212168086052e+09 -6.116000000000000325e-01 2.714599999999999795e+02
1.581710212262204885e+09 -6.118999999999999995e-01 2.714599999999999795e+02
1.581710212367073059e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710212465972900e+09 -6.115000000000000435e-01 2.714599999999999795e+02
1.581710212576205015e+09 -6.115000000000000435e-01 2.714599999999999795e+02
1.581710212679928064e+09 -6.117000000000000215e-01 2.714599999999999795e+02
1.581710212776550055e+09 -6.119999999999999885e-01 2.714599999999999795e+02
1.581710212873770952e+09 -6.120999999999999774e-01 2.714599999999999795e+02
1.581710212977247000e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710213075841904e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710213175504923e+09 -6.117000000000000215e-01 2.714599999999999795e+02
1.581710213275445938e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710213391756058e+09 -6.116000000000000325e-01 2.714599999999999795e+02
1.581710213491094112e+09 -6.117000000000000215e-01 2.714599999999999795e+02
1.581710213588015079e+09 -6.119999999999999885e-01 2.714599999999999795e+02
1.581710213689930916e+09 -6.117000000000000215e-01 2.714599999999999795e+02
1.581710213789983034e+09 -6.118999999999999995e-01 2.714599999999999795e+02
1.581710213889858007e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710213987325907e+09 -6.118999999999999995e-01 2.714599999999999795e+02
1.581710214088891983e+09 -6.118999999999999995e-01 2.714599999999999795e+02
1.581710214187972069e+09 -6.118000000000000105e-01 2.714599999999999795e+02
1.581710214287822008e+09 -6.117000000000000215e-01 2.714599999999999795e+02
1.581710214387022972e+09 -6.116000000000000325e-01 2.714599999999999795e+02
1.581710214500765085e+09 -6.114000000000000545e-01 2.714599999999999795e+02
1.581710214596618891e+09 -6.114000000000000545e-01 2.714499999999999886e+02
1.581710214700968981e+09 -6.115000000000000435e-01 2.714499999999999886e+02
1.581710214799918890e+09 -6.117000000000000215e-01 2.714499999999999886e+02
1.581710214894576073e+09 -6.118000000000000105e-01 2.714499999999999886e+02
1.581710214999085903e+09 -6.116000000000000325e-01 2.714599999999999795e+02
1.581710215098812103e+09 -6.118000000000000105e-01 2.714499999999999886e+02
1.581710215197817087e+09 -6.118000000000000105e-01 2.714499999999999886e+02
1.581710215294881105e+09 -6.118000000000000105e-01 2.714499999999999886e+02
1.581710215411798954e+09 -6.118000000000000105e-01 2.714499999999999886e+02
1.581710215506958961e+09 -6.120999999999999774e-01 2.714499999999999886e+02
1.581710215610934973e+09 -6.118000000000000105e-01 2.714499999999999886e+02
1.581710215710832119e+09 -6.119999999999999885e-01 2.714499999999999886e+02
1.581710215809813023e+09 -6.119999999999999885e-01 2.714499999999999886e+02
1.581710215907798052e+09 -6.119999999999999885e-01 2.714499999999999886e+02
1.581710216009677887e+09 -6.119999999999999885e-01 2.714499999999999886e+02
1.581710216108716965e+09 -6.118000000000000105e-01 2.714499999999999886e+02
1.581710216218367100e+09 -6.117000000000000215e-01 2.714499999999999886e+02
1.581710216318077087e+09 -6.118999999999999995e-01 2.714499999999999886e+02
