# 
# Duration (in s): 10
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 25.35
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: pointing at sky (tenth microwatt)
1.581710746509825945e+09 -6.415999999999999481e-01 2.720199999999999818e+02
1.581710746598912954e+09 -6.412999999999999812e-01 2.720199999999999818e+02
1.581710746684075117e+09 -6.414999999999999591e-01 2.720199999999999818e+02
1.581710746798033953e+09 -6.412999999999999812e-01 2.720199999999999818e+02
1.581710746894448996e+09 -6.414999999999999591e-01 2.720199999999999818e+02
1.581710746991704941e+09 -6.414999999999999591e-01 2.720199999999999818e+02
1.581710747096312046e+09 -6.413999999999999702e-01 2.720199999999999818e+02
1.581710747192430019e+09 -6.413999999999999702e-01 2.720199999999999818e+02
1.581710747290923119e+09 -6.415999999999999481e-01 2.720199999999999818e+02
1.581710747395823002e+09 -6.414999999999999591e-01 2.720199999999999818e+02
1.581710747490447044e+09 -6.412999999999999812e-01 2.720299999999999727e+02
1.581710747590231895e+09 -6.415999999999999481e-01 2.720299999999999727e+02
1.581710747689985037e+09 -6.414999999999999591e-01 2.720299999999999727e+02
1.581710747804339886e+09 -6.414999999999999591e-01 2.720299999999999727e+02
1.581710747906130075e+09 -6.414999999999999591e-01 2.720299999999999727e+02
1.581710748004554033e+09 -6.413999999999999702e-01 2.720299999999999727e+02
1.581710748105693102e+09 -6.412999999999999812e-01 2.720299999999999727e+02
1.581710748205404997e+09 -6.413999999999999702e-01 2.720299999999999727e+02
1.581710748300560951e+09 -6.414999999999999591e-01 2.720299999999999727e+02
1.581710748404910088e+09 -6.412999999999999812e-01 2.720299999999999727e+02
1.581710748502336025e+09 -6.413999999999999702e-01 2.720299999999999727e+02
1.581710748604458094e+09 -6.414999999999999591e-01 2.720299999999999727e+02
1.581710748704190969e+09 -6.412999999999999812e-01 2.720299999999999727e+02
1.581710748818842888e+09 -6.412999999999999812e-01 2.720299999999999727e+02
1.581710748913022995e+09 -6.415999999999999481e-01 2.720299999999999727e+02
1.581710749016309977e+09 -6.411999999999999922e-01 2.720299999999999727e+02
1.581710749112464905e+09 -6.413999999999999702e-01 2.720299999999999727e+02
1.581710749216865063e+09 -6.415999999999999481e-01 2.720299999999999727e+02
1.581710749316771030e+09 -6.411999999999999922e-01 2.720299999999999727e+02
1.581710749415828943e+09 -6.411999999999999922e-01 2.720299999999999727e+02
1.581710749512008905e+09 -6.414999999999999591e-01 2.720400000000000205e+02
1.581710749614948988e+09 -6.415999999999999481e-01 2.720299999999999727e+02
1.581710749723543882e+09 -6.415999999999999481e-01 2.720299999999999727e+02
1.581710749828294039e+09 -6.412999999999999812e-01 2.720299999999999727e+02
1.581710749927741051e+09 -6.415999999999999481e-01 2.720400000000000205e+02
1.581710750027883053e+09 -6.417000000000000481e-01 2.720400000000000205e+02
1.581710750124420881e+09 -6.413999999999999702e-01 2.720400000000000205e+02
1.581710750226844072e+09 -6.415999999999999481e-01 2.720400000000000205e+02
1.581710750326689005e+09 -6.414999999999999591e-01 2.720400000000000205e+02
1.581710750422523022e+09 -6.417000000000000481e-01 2.720400000000000205e+02
1.581710750525796890e+09 -6.414999999999999591e-01 2.720400000000000205e+02
1.581710750639633894e+09 -6.413999999999999702e-01 2.720400000000000205e+02
1.581710750734977961e+09 -6.415999999999999481e-01 2.720400000000000205e+02
1.581710750838548899e+09 -6.413999999999999702e-01 2.720400000000000205e+02
1.581710750938767910e+09 -6.414999999999999591e-01 2.720400000000000205e+02
1.581710751033154011e+09 -6.414999999999999591e-01 2.720400000000000205e+02
1.581710751137892008e+09 -6.414999999999999591e-01 2.720400000000000205e+02
1.581710751237608910e+09 -6.414999999999999591e-01 2.720400000000000205e+02
1.581710751336615086e+09 -6.413999999999999702e-01 2.720400000000000205e+02
