# 
# Duration (in s): 10
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 83.95
# Calibrator used: YES
# Weather: very clear
# Units: tenth of microWatt
# Comments: calibration; pointing down; liquid nitrogen; temperature of horn is -319.70
1.581711068234354019e+09 -8.769000000000000128e-01 7.779099999999999682e+01
1.581711068350083113e+09 -8.768000000000000238e-01 7.778400000000000603e+01
1.581711068449820042e+09 -8.771999999999999797e-01 7.777899999999999636e+01
1.581711068549866915e+09 -8.774999999999999467e-01 7.777899999999999636e+01
1.581711068648938894e+09 -8.778000000000000247e-01 7.778100000000000591e+01
1.581711068748759985e+09 -8.770000000000000018e-01 7.780400000000000205e+01
1.581711068847778082e+09 -8.770000000000000018e-01 7.780400000000000205e+01
1.581711068947834015e+09 -8.776000000000000467e-01 7.780299999999999727e+01
1.581711069047926903e+09 -8.770999999999999908e-01 7.780500000000000682e+01
1.581711069146917105e+09 -8.777000000000000357e-01 7.780500000000000682e+01
1.581711069246891975e+09 -8.780999999999999917e-01 7.780299999999999727e+01
1.581711069360949993e+09 -8.784999999999999476e-01 7.780500000000000682e+01
1.581711069459758043e+09 -8.786000000000000476e-01 7.780700000000000216e+01
1.581711069559845924e+09 -8.784999999999999476e-01 7.780700000000000216e+01
1.581711069658803940e+09 -8.776000000000000467e-01 7.780899999999999750e+01
1.581711069758826971e+09 -8.767000000000000348e-01 7.779600000000000648e+01
1.581711069858741045e+09 -8.771999999999999797e-01 7.779600000000000648e+01
1.581711069959472895e+09 -8.781999999999999806e-01 7.780200000000000671e+01
1.581711070057945967e+09 -8.800000000000000044e-01 7.780800000000000693e+01
1.581711070156838894e+09 -8.799000000000000155e-01 7.780500000000000682e+01
1.581711070271663904e+09 -8.809000000000000163e-01 7.780500000000000682e+01
1.581711070373383045e+09 -8.793999999999999595e-01 7.779399999999999693e+01
1.581711070470352888e+09 -8.800000000000000044e-01 7.778499999999999659e+01
1.581711070573072910e+09 -8.801999999999999824e-01 7.778499999999999659e+01
1.581711070672668934e+09 -8.806000000000000494e-01 7.778100000000000591e+01
1.581711070769292116e+09 -8.809000000000000163e-01 7.777500000000000568e+01
1.581711070868990898e+09 -8.789000000000000146e-01 7.777500000000000568e+01
1.581711070972495079e+09 -8.780000000000000027e-01 7.777500000000000568e+01
1.581711071070125103e+09 -8.773999999999999577e-01 7.777599999999999625e+01
1.581711071182060957e+09 -8.777000000000000357e-01 7.777599999999999625e+01
1.581711071283185005e+09 -8.753999999999999559e-01 7.777599999999999625e+01
1.581711071385713100e+09 -8.750999999999999890e-01 7.777100000000000080e+01
1.581711071485680103e+09 -8.780000000000000027e-01 7.776999999999999602e+01
1.581711071580100060e+09 -8.796000000000000485e-01 7.776999999999999602e+01
1.581711071684602022e+09 -8.799000000000000155e-01 7.778100000000000591e+01
1.581711071784647942e+09 -8.787000000000000366e-01 7.778100000000000591e+01
1.581711071880779028e+09 -8.729999999999999982e-01 7.780100000000000193e+01
1.581711071980010033e+09 -8.719999999999999973e-01 7.780100000000000193e+01
1.581711072094029903e+09 -8.783999999999999586e-01 7.780899999999999750e+01
1.581711072197002888e+09 -8.780000000000000027e-01 7.781399999999999295e+01
1.581711072297389984e+09 -8.783999999999999586e-01 7.781399999999999295e+01
1.581711072396291971e+09 -8.788000000000000256e-01 7.781300000000000239e+01
1.581711072492877007e+09 -8.788000000000000256e-01 7.781900000000000261e+01
1.581711072596297026e+09 -8.789000000000000146e-01 7.781900000000000261e+01
1.581711072695189953e+09 -8.783999999999999586e-01 7.781300000000000239e+01
1.581711072793445110e+09 -8.784999999999999476e-01 7.780899999999999750e+01
1.581711072894397974e+09 -8.787000000000000366e-01 7.780299999999999727e+01
1.581711073008284092e+09 -8.782999999999999696e-01 7.780299999999999727e+01
1.581711073103818893e+09 -8.783999999999999586e-01 7.780500000000000682e+01
1.581711073207189083e+09 -8.783999999999999586e-01 7.780899999999999750e+01
1.581711073307251930e+09 -8.754999999999999449e-01 7.780899999999999750e+01
1.581711073407238007e+09 -8.783999999999999586e-01 7.780100000000000193e+01
1.581711073506262064e+09 -8.770000000000000018e-01 7.786100000000000421e+01
1.581711073606141090e+09 -8.777000000000000357e-01 7.785999999999999943e+01
1.581711073705214024e+09 -8.770999999999999908e-01 7.785999999999999943e+01
1.581711073815758944e+09 -8.786000000000000476e-01 7.786400000000000432e+01
1.581711073915551901e+09 -8.800000000000000044e-01 7.788200000000000500e+01
1.581711074015263081e+09 -8.803999999999999604e-01 7.788200000000000500e+01
1.581711074114864111e+09 -8.757000000000000339e-01 7.786700000000000443e+01
1.581711074214783907e+09 -8.749000000000000110e-01 7.788800000000000523e+01
1.581711074317142010e+09 -8.758000000000000229e-01 7.788800000000000523e+01
1.581711074414299965e+09 -8.803999999999999604e-01 7.787399999999999523e+01
1.581711074514077902e+09 -8.802999999999999714e-01 7.780700000000000216e+01
1.581711074613838911e+09 -8.754999999999999449e-01 7.779300000000000637e+01
1.581711074713593006e+09 -8.750999999999999890e-01 7.779300000000000637e+01
1.581711074829286098e+09 -8.739999999999999991e-01 7.779099999999999682e+01
1.581711074929112911e+09 -8.721999999999999753e-01 7.779000000000000625e+01
1.581711075029098988e+09 -8.779000000000000137e-01 7.779000000000000625e+01
1.581711075127495050e+09 -8.789000000000000146e-01 7.778400000000000603e+01
