# 
# Duration (in s): 10
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 82.55
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: calibration; pointing down; no liquid nitrogen.
1.581711994887592077e+09 -1.252000000000000057e-01 2.708399999999999750e+02
1.581711994984885931e+09 -1.250000000000000000e-01 2.708399999999999750e+02
1.581711995085033894e+09 -1.277999999999999969e-01 2.708399999999999750e+02
1.581711995185038090e+09 -1.323999999999999899e-01 2.708399999999999750e+02
1.581711995284166098e+09 -1.408000000000000085e-01 2.708399999999999750e+02
1.581711995382647991e+09 -1.428000000000000103e-01 2.708399999999999750e+02
1.581711995478137970e+09 -1.429999999999999882e-01 2.708399999999999750e+02
1.581711995583097935e+09 -1.421000000000000041e-01 2.708399999999999750e+02
1.581711995678662062e+09 -1.414999999999999869e-01 2.708399999999999750e+02
1.581711995777337074e+09 -1.313999999999999890e-01 2.708399999999999750e+02
1.581711995893719912e+09 -1.270000000000000018e-01 2.708399999999999750e+02
1.581711995996041059e+09 -1.267000000000000071e-01 2.708399999999999750e+02
1.581711996093249083e+09 -1.242999999999999938e-01 2.708399999999999750e+02
1.581711996193073988e+09 -1.219999999999999973e-01 2.708399999999999750e+02
1.581711996292752981e+09 -1.210999999999999993e-01 2.708399999999999750e+02
1.581711996392514944e+09 -1.203000000000000042e-01 2.708399999999999750e+02
1.581711996492330074e+09 -1.203000000000000042e-01 2.708399999999999750e+02
1.581711996592061996e+09 -1.203999999999999931e-01 2.708399999999999750e+02
1.581711996706782103e+09 -1.205999999999999989e-01 2.708399999999999750e+02
1.581711996806613922e+09 -1.202000000000000013e-01 2.708399999999999750e+02
1.581711996905848980e+09 -1.205999999999999989e-01 2.708500000000000227e+02
1.581711997005891085e+09 -1.207000000000000017e-01 2.708500000000000227e+02
1.581711997104954958e+09 -1.208999999999999936e-01 2.708500000000000227e+02
1.581711997204865932e+09 -1.213999999999999940e-01 2.708500000000000227e+02
1.581711997304797888e+09 -1.210999999999999993e-01 2.708500000000000227e+02
1.581711997404002905e+09 -1.214999999999999969e-01 2.708500000000000227e+02
1.581711997503989935e+09 -1.218000000000000055e-01 2.708399999999999750e+02
1.581711997602741003e+09 -1.203000000000000042e-01 2.708399999999999750e+02
1.581711997716942072e+09 -1.205999999999999989e-01 2.708399999999999750e+02
1.581711997816660881e+09 -1.205999999999999989e-01 2.708399999999999750e+02
1.581711997916799068e+09 -1.205999999999999989e-01 2.708399999999999750e+02
1.581711998015763044e+09 -1.205999999999999989e-01 2.708399999999999750e+02
1.581711998115761042e+09 -1.208000000000000046e-01 2.708399999999999750e+02
1.581711998214809895e+09 -1.214999999999999969e-01 2.708399999999999750e+02
1.581711998314747095e+09 -1.213999999999999940e-01 2.708399999999999750e+02
1.581711998413682938e+09 -1.212000000000000022e-01 2.708399999999999750e+02
1.581711998527719975e+09 -1.210999999999999993e-01 2.708399999999999750e+02
1.581711998627752066e+09 -1.210999999999999993e-01 2.708399999999999750e+02
1.581711998727662086e+09 -1.213000000000000050e-01 2.708399999999999750e+02
1.581711998826673985e+09 -1.210999999999999993e-01 2.708399999999999750e+02
1.581711998926647902e+09 -1.208999999999999936e-01 2.708500000000000227e+02
1.581711999025747061e+09 -1.212000000000000022e-01 2.708399999999999750e+02
1.581711999125538111e+09 -1.213999999999999940e-01 2.708399999999999750e+02
1.581711999225637913e+09 -1.212000000000000022e-01 2.708399999999999750e+02
1.581711999324683905e+09 -1.210999999999999993e-01 2.708399999999999750e+02
1.581711999424612999e+09 -1.208999999999999936e-01 2.708500000000000227e+02
1.581711999535073042e+09 -1.209999999999999964e-01 2.708500000000000227e+02
1.581711999632653952e+09 -1.209999999999999964e-01 2.708500000000000227e+02
1.581711999734606028e+09 -1.210999999999999993e-01 2.708500000000000227e+02
1.581711999834373951e+09 -1.212000000000000022e-01 2.708500000000000227e+02
1.581711999934150934e+09 -1.210999999999999993e-01 2.708500000000000227e+02
1.581712000033905983e+09 -1.208999999999999936e-01 2.708500000000000227e+02
1.581712000133670092e+09 -1.209999999999999964e-01 2.708500000000000227e+02
1.581712000233390093e+09 -1.210999999999999993e-01 2.708500000000000227e+02
1.581712000349646091e+09 -1.212000000000000022e-01 2.708399999999999750e+02
1.581712000448640108e+09 -1.212000000000000022e-01 2.708500000000000227e+02
1.581712000548501968e+09 -1.212000000000000022e-01 2.708500000000000227e+02
1.581712000647757053e+09 -1.212000000000000022e-01 2.708399999999999750e+02
1.581712000747001886e+09 -1.213999999999999940e-01 2.708500000000000227e+02
1.581712000847500086e+09 -1.213999999999999940e-01 2.708500000000000227e+02
1.581712000946711063e+09 -1.214999999999999969e-01 2.708500000000000227e+02
1.581712001046617031e+09 -1.215999999999999998e-01 2.708500000000000227e+02
1.581712001145360947e+09 -1.215999999999999998e-01 2.708500000000000227e+02
1.581712001245528936e+09 -1.215999999999999998e-01 2.708500000000000227e+02
1.581712001359644890e+09 -1.209999999999999964e-01 2.708500000000000227e+02
1.581712001458533049e+09 -1.222000000000000031e-01 2.708500000000000227e+02
1.581712001558552027e+09 -1.242999999999999938e-01 2.708500000000000227e+02
1.581712001658751011e+09 -1.262000000000000066e-01 2.708500000000000227e+02
1.581712001757410049e+09 -1.260000000000000009e-01 2.708500000000000227e+02
1.581712001857608080e+09 -1.260999999999999899e-01 2.708500000000000227e+02
1.581712001956418037e+09 -1.260999999999999899e-01 2.708500000000000227e+02
1.581712002056416035e+09 -1.259000000000000119e-01 2.708500000000000227e+02
1.581712002155554056e+09 -1.250000000000000000e-01 2.708500000000000227e+02
1.581712002269438028e+09 -1.233999999999999958e-01 2.708500000000000227e+02
1.581712002369354010e+09 -1.223999999999999949e-01 2.708500000000000227e+02
1.581712002469424963e+09 -1.222000000000000031e-01 2.708500000000000227e+02
1.581712002565285921e+09 -1.221000000000000002e-01 2.708500000000000227e+02
1.581712002668454885e+09 -1.219999999999999973e-01 2.708500000000000227e+02
1.581712002768268108e+09 -1.218999999999999945e-01 2.708500000000000227e+02
1.581712002867434978e+09 -1.222000000000000031e-01 2.708500000000000227e+02
1.581712002967278004e+09 -1.223000000000000059e-01 2.708500000000000227e+02
1.581712003076653004e+09 -1.223999999999999949e-01 2.708500000000000227e+02
1.581712003176386118e+09 -1.218999999999999945e-01 2.708500000000000227e+02
1.581712003276175022e+09 -1.212000000000000022e-01 2.708500000000000227e+02
1.581712003375945091e+09 -1.210999999999999993e-01 2.708500000000000227e+02
1.581712003477144003e+09 -1.213999999999999940e-01 2.708500000000000227e+02
1.581712003575467110e+09 -1.208000000000000046e-01 2.708500000000000227e+02
1.581712003675245047e+09 -1.208000000000000046e-01 2.708500000000000227e+02
1.581712003775002003e+09 -1.210999999999999993e-01 2.708500000000000227e+02
1.581712003874790907e+09 -1.210999999999999993e-01 2.708500000000000227e+02
1.581712003974530935e+09 -1.212000000000000022e-01 2.708500000000000227e+02
1.581712004074305058e+09 -1.213000000000000050e-01 2.708500000000000227e+02
1.581712004190277100e+09 -1.215999999999999998e-01 2.708500000000000227e+02
1.581712004290337086e+09 -1.213000000000000050e-01 2.708500000000000227e+02
1.581712004390199900e+09 -1.223000000000000059e-01 2.708500000000000227e+02
1.581712004485459089e+09 -1.250999999999999890e-01 2.708500000000000227e+02
1.581712004589329004e+09 -1.255000000000000004e-01 2.708500000000000227e+02
1.581712004688208103e+09 -1.250999999999999890e-01 2.708500000000000227e+02
1.581712004788319111e+09 -1.248999999999999971e-01 2.708500000000000227e+02
