# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 50.45
# Calibrator used: YES
# Weather: very clear
# Units: tenth of microWatt
# Comments: pointing at sky 
1.581712224956712961e+09 -6.018000000000000016e-01 2.706700000000000159e+02
1.581712225059587002e+09 -6.018999999999999906e-01 2.706700000000000159e+02
1.581712225158881903e+09 -6.019999999999999796e-01 2.706700000000000159e+02
1.581712225258913994e+09 -6.018000000000000016e-01 2.706600000000000250e+02
1.581712225355261087e+09 -6.018999999999999906e-01 2.706600000000000250e+02
1.581712225457901955e+09 -6.018999999999999906e-01 2.706600000000000250e+02
1.581712225557833910e+09 -6.018000000000000016e-01 2.706600000000000250e+02
1.581712225656812906e+09 -6.019999999999999796e-01 2.706600000000000250e+02
1.581712225770667076e+09 -6.019999999999999796e-01 2.706600000000000250e+02
1.581712225870871067e+09 -6.017000000000000126e-01 2.706600000000000250e+02
1.581712225968478918e+09 -6.021999999999999575e-01 2.706600000000000250e+02
1.581712226069858074e+09 -6.020999999999999686e-01 2.706600000000000250e+02
1.581712226169719934e+09 -6.020999999999999686e-01 2.706600000000000250e+02
1.581712226268776894e+09 -6.021999999999999575e-01 2.706600000000000250e+02
1.581712226368962049e+09 -6.018999999999999906e-01 2.706600000000000250e+02
1.581712226468771935e+09 -6.020999999999999686e-01 2.706600000000000250e+02
1.581712226579377890e+09 -6.019999999999999796e-01 2.706600000000000250e+02
1.581712226679105997e+09 -6.019999999999999796e-01 2.706600000000000250e+02
1.581712226778889894e+09 -6.018000000000000016e-01 2.706600000000000250e+02
1.581712226878341913e+09 -6.019999999999999796e-01 2.706600000000000250e+02
1.581712226978406906e+09 -6.019999999999999796e-01 2.706600000000000250e+02
1.581712227078183889e+09 -6.018999999999999906e-01 2.706600000000000250e+02
1.581712227177964926e+09 -6.018000000000000016e-01 2.706600000000000250e+02
1.581712227277734041e+09 -6.018999999999999906e-01 2.706600000000000250e+02
1.581712227377466917e+09 -6.019999999999999796e-01 2.706600000000000250e+02
1.581712227492721081e+09 -6.018999999999999906e-01 2.706600000000000250e+02
1.581712227592483044e+09 -6.019999999999999796e-01 2.706600000000000250e+02
1.581712227691668034e+09 -6.017000000000000126e-01 2.706600000000000250e+02
1.581712227787081957e+09 -6.017000000000000126e-01 2.706600000000000250e+02
1.581712227885615110e+09 -6.018000000000000016e-01 2.706600000000000250e+02
1.581712227990658998e+09 -6.018999999999999906e-01 2.706600000000000250e+02
1.581712228090655088e+09 -6.020999999999999686e-01 2.706600000000000250e+02
1.581712228189562082e+09 -6.020999999999999686e-01 2.706600000000000250e+02
1.581712228289635897e+09 -6.018999999999999906e-01 2.706600000000000250e+02
1.581712228389633894e+09 -6.018000000000000016e-01 2.706600000000000250e+02
1.581712228488742113e+09 -6.021999999999999575e-01 2.706600000000000250e+02
1.581712228602571964e+09 -6.024000000000000465e-01 2.706600000000000250e+02
1.581712228701670885e+09 -6.020999999999999686e-01 2.706600000000000250e+02
1.581712228801650047e+09 -6.025000000000000355e-01 2.706700000000000159e+02
1.581712228901571989e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712229000670910e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712229100596905e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712229199600935e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712229299516916e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712229399642944e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712229512559891e+09 -6.020999999999999686e-01 2.706700000000000159e+02
1.581712229612593889e+09 -6.018999999999999906e-01 2.706700000000000159e+02
1.581712229712470055e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712229811299086e+09 -6.020999999999999686e-01 2.706700000000000159e+02
1.581712229911355019e+09 -6.019999999999999796e-01 2.706700000000000159e+02
1.581712230010499954e+09 -6.018000000000000016e-01 2.706700000000000159e+02
1.581712230110491037e+09 -6.019999999999999796e-01 2.706700000000000159e+02
1.581712230210407019e+09 -6.019999999999999796e-01 2.706700000000000159e+02
1.581712230309451103e+09 -6.020999999999999686e-01 2.706700000000000159e+02
1.581712230409354925e+09 -6.020999999999999686e-01 2.706700000000000159e+02
1.581712230520055056e+09 -6.020999999999999686e-01 2.706700000000000159e+02
1.581712230619827032e+09 -6.022999999999999465e-01 2.706700000000000159e+02
1.581712230719522953e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712230819313049e+09 -6.020999999999999686e-01 2.706700000000000159e+02
1.581712230919084072e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712231018906116e+09 -6.020999999999999686e-01 2.706700000000000159e+02
1.581712231118616104e+09 -6.020999999999999686e-01 2.706700000000000159e+02
1.581712231218373060e+09 -6.022999999999999465e-01 2.706700000000000159e+02
1.581712231318146944e+09 -6.020999999999999686e-01 2.706700000000000159e+02
1.581712231417920113e+09 -6.022999999999999465e-01 2.706700000000000159e+02
1.581712231533442974e+09 -6.019999999999999796e-01 2.706700000000000159e+02
1.581712231628602028e+09 -6.022999999999999465e-01 2.706700000000000159e+02
1.581712231732467890e+09 -6.024000000000000465e-01 2.706700000000000159e+02
1.581712231832402945e+09 -6.022999999999999465e-01 2.706700000000000159e+02
1.581712231931385994e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712232031398058e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712232131189108e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712232230488062e+09 -6.020999999999999686e-01 2.706700000000000159e+02
1.581712232344434023e+09 -6.021999999999999575e-01 2.706700000000000159e+02
1.581712232444268942e+09 -6.019999999999999796e-01 2.706700000000000159e+02
1.581712232543153048e+09 -6.019999999999999796e-01 2.706700000000000159e+02
1.581712232638479948e+09 -6.022999999999999465e-01 2.706700000000000159e+02
1.581712232742238045e+09 -6.019999999999999796e-01 2.706700000000000159e+02
1.581712232842257977e+09 -6.020999999999999686e-01 2.706700000000000159e+02
