# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 60.35
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: pointing at sky 
1.581712340417248011e+09 -6.012999999999999456e-01 2.705799999999999841e+02
1.581712340516704082e+09 -6.011999999999999567e-01 2.705699999999999932e+02
1.581712340626498938e+09 -6.014000000000000457e-01 2.705699999999999932e+02
1.581712340725100994e+09 -6.011999999999999567e-01 2.705699999999999932e+02
1.581712340829729080e+09 -6.011999999999999567e-01 2.705699999999999932e+02
1.581712340929745913e+09 -6.009999999999999787e-01 2.705699999999999932e+02
1.581712341024377108e+09 -6.009999999999999787e-01 2.705699999999999932e+02
1.581712341124140024e+09 -6.008999999999999897e-01 2.705799999999999841e+02
1.581712341223916054e+09 -6.011999999999999567e-01 2.705699999999999932e+02
1.581712341323694944e+09 -6.012999999999999456e-01 2.705699999999999932e+02
1.581712341423393011e+09 -6.009999999999999787e-01 2.705699999999999932e+02
1.581712341539896011e+09 -6.008999999999999897e-01 2.705699999999999932e+02
1.581712341639560938e+09 -6.009999999999999787e-01 2.705699999999999932e+02
1.581712341739335060e+09 -6.010999999999999677e-01 2.705699999999999932e+02
1.581712341839081049e+09 -6.011999999999999567e-01 2.705699999999999932e+02
1.581712341938852072e+09 -6.007000000000000117e-01 2.705699999999999932e+02
1.581712342038619041e+09 -6.007000000000000117e-01 2.705699999999999932e+02
1.581712342138426065e+09 -6.006000000000000227e-01 2.705600000000000023e+02
1.581712342238140106e+09 -6.008000000000000007e-01 2.705600000000000023e+02
1.581712342337596893e+09 -6.007000000000000117e-01 2.705600000000000023e+02
1.581712342437633038e+09 -6.006000000000000227e-01 2.705600000000000023e+02
1.581712342551642895e+09 -6.008999999999999897e-01 2.705600000000000023e+02
1.581712342650788069e+09 -6.010999999999999677e-01 2.705600000000000023e+02
1.581712342750653028e+09 -6.010999999999999677e-01 2.705600000000000023e+02
1.581712342849606991e+09 -6.008000000000000007e-01 2.705600000000000023e+02
1.581712342949744940e+09 -6.011999999999999567e-01 2.705600000000000023e+02
1.581712343049530029e+09 -6.011999999999999567e-01 2.705600000000000023e+02
1.581712343148691893e+09 -6.010999999999999677e-01 2.705600000000000023e+02
1.581712343248560905e+09 -6.010999999999999677e-01 2.705600000000000023e+02
1.581712343347542048e+09 -6.010999999999999677e-01 2.705600000000000023e+02
1.581712343461616039e+09 -6.010999999999999677e-01 2.705600000000000023e+02
1.581712343561553001e+09 -6.009999999999999787e-01 2.705600000000000023e+02
1.581712343660486937e+09 -6.009999999999999787e-01 2.705600000000000023e+02
1.581712343760601044e+09 -6.010999999999999677e-01 2.705600000000000023e+02
1.581712343860462904e+09 -6.008000000000000007e-01 2.705500000000000114e+02
1.581712343959479094e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712344059463024e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712344155185938e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712344272087097e+09 -6.006000000000000227e-01 2.705500000000000114e+02
1.581712344372503042e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712344471357107e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712344571530104e+09 -6.008000000000000007e-01 2.705500000000000114e+02
1.581712344671377897e+09 -6.008000000000000007e-01 2.705500000000000114e+02
1.581712344770308971e+09 -6.008000000000000007e-01 2.705500000000000114e+02
1.581712344870465994e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712344970352888e+09 -6.005000000000000338e-01 2.705500000000000114e+02
1.581712345064766884e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712345181171894e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712345280998945e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712345380672932e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712345480417013e+09 -6.008000000000000007e-01 2.705500000000000114e+02
1.581712345580195904e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712345680037022e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712345779732943e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712345879493952e+09 -6.011999999999999567e-01 2.705500000000000114e+02
1.581712345979254007e+09 -6.011999999999999567e-01 2.705500000000000114e+02
1.581712346079016924e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712346193380117e+09 -6.008000000000000007e-01 2.705500000000000114e+02
1.581712346293279886e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712346392342091e+09 -6.012999999999999456e-01 2.705500000000000114e+02
1.581712346492450953e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712346592495918e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712346691399097e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712346791388035e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712346890391111e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712346990462065e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712347090503931e+09 -6.009999999999999787e-01 2.705400000000000205e+02
1.581712347203274965e+09 -6.009999999999999787e-01 2.705400000000000205e+02
1.581712347303165913e+09 -6.008999999999999897e-01 2.705400000000000205e+02
1.581712347403337955e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712347502207994e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712347602263927e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712347701369047e+09 -6.008999999999999897e-01 2.705400000000000205e+02
1.581712347801129103e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712347901169062e+09 -6.011999999999999567e-01 2.705500000000000114e+02
1.581712348014086008e+09 -6.012999999999999456e-01 2.705500000000000114e+02
1.581712348114149094e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712348214145899e+09 -6.014000000000000457e-01 2.705500000000000114e+02
1.581712348313141108e+09 -6.011999999999999567e-01 2.705500000000000114e+02
1.581712348413280010e+09 -6.012999999999999456e-01 2.705500000000000114e+02
1.581712348512222052e+09 -6.011999999999999567e-01 2.705500000000000114e+02
1.581712348612133026e+09 -6.014000000000000457e-01 2.705500000000000114e+02
1.581712348712151051e+09 -6.012999999999999456e-01 2.705400000000000205e+02
1.581712348811153889e+09 -6.011999999999999567e-01 2.705500000000000114e+02
1.581712348911084890e+09 -6.012999999999999456e-01 2.705500000000000114e+02
1.581712349022051096e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712349121779919e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712349221585035e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712349321367979e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712349421078920e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712349520844936e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712349620608091e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712349720370054e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712349820137978e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712349919892073e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712350035012007e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712350134131908e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712350234003067e+09 -6.008999999999999897e-01 2.705500000000000114e+02
1.581712350334099054e+09 -6.008000000000000007e-01 2.705500000000000114e+02
1.581712350433044910e+09 -6.009999999999999787e-01 2.705500000000000114e+02
1.581712350533159971e+09 -6.008999999999999897e-01 2.705400000000000205e+02
1.581712350632994890e+09 -6.009999999999999787e-01 2.705400000000000205e+02
1.581712350731988907e+09 -6.012999999999999456e-01 2.705500000000000114e+02
1.581712350831927061e+09 -6.011999999999999567e-01 2.705500000000000114e+02
1.581712350931054115e+09 -6.011999999999999567e-01 2.705500000000000114e+02
1.581712351045011997e+09 -6.012999999999999456e-01 2.705500000000000114e+02
1.581712351145071983e+09 -6.011999999999999567e-01 2.705500000000000114e+02
1.581712351244983912e+09 -6.011999999999999567e-01 2.705400000000000205e+02
1.581712351343991995e+09 -6.010999999999999677e-01 2.705400000000000205e+02
1.581712351443806887e+09 -6.012999999999999456e-01 2.705500000000000114e+02
1.581712351542999029e+09 -6.014000000000000457e-01 2.705500000000000114e+02
1.581712351642941952e+09 -6.010999999999999677e-01 2.705500000000000114e+02
1.581712351741962910e+09 -6.012999999999999456e-01 2.705400000000000205e+02
1.581712351841960907e+09 -6.010999999999999677e-01 2.705400000000000205e+02
1.581712351941802025e+09 -6.008999999999999897e-01 2.705400000000000205e+02
1.581712352054934025e+09 -6.012999999999999456e-01 2.705400000000000205e+02
1.581712352154772043e+09 -6.011999999999999567e-01 2.705500000000000114e+02
