# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 80.2
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: pointing at sky
1.581712609980012894e+09 -5.967999999999999972e-01 2.704800000000000182e+02
1.581712610085596085e+09 -5.967000000000000082e-01 2.704800000000000182e+02
1.581712610185369968e+09 -5.967999999999999972e-01 2.704800000000000182e+02
1.581712610285149097e+09 -5.967000000000000082e-01 2.704800000000000182e+02
1.581712610399446964e+09 -5.967999999999999972e-01 2.704800000000000182e+02
1.581712610499567986e+09 -5.966000000000000192e-01 2.704800000000000182e+02
1.581712610599462986e+09 -5.965000000000000302e-01 2.704800000000000182e+02
1.581712610698421001e+09 -5.966000000000000192e-01 2.704800000000000182e+02
1.581712610798449993e+09 -5.967000000000000082e-01 2.704800000000000182e+02
1.581712610897504091e+09 -5.967000000000000082e-01 2.704800000000000182e+02
1.581712610992724895e+09 -5.966000000000000192e-01 2.704800000000000182e+02
1.581712611097325087e+09 -5.967999999999999972e-01 2.704800000000000182e+02
1.581712611196461916e+09 -5.965000000000000302e-01 2.704800000000000182e+02
1.581712611296356916e+09 -5.968999999999999861e-01 2.704800000000000182e+02
1.581712611410295010e+09 -5.968999999999999861e-01 2.704800000000000182e+02
1.581712611509427071e+09 -5.969999999999999751e-01 2.704800000000000182e+02
1.581712611609360933e+09 -5.970999999999999641e-01 2.704800000000000182e+02
1.581712611708444118e+09 -5.967000000000000082e-01 2.704800000000000182e+02
1.581712611808279991e+09 -5.967999999999999972e-01 2.704800000000000182e+02
1.581712611908390999e+09 -5.966000000000000192e-01 2.704800000000000182e+02
1.581712612007445097e+09 -5.968999999999999861e-01 2.704800000000000182e+02
1.581712612107389927e+09 -5.968999999999999861e-01 2.704800000000000182e+02
1.581712612206535101e+09 -5.969999999999999751e-01 2.704800000000000182e+02
1.581712612305888891e+09 -5.967999999999999972e-01 2.704800000000000182e+02
1.581712612420509100e+09 -5.967000000000000082e-01 2.704800000000000182e+02
1.581712612518039942e+09 -5.968999999999999861e-01 2.704800000000000182e+02
1.581712612619302034e+09 -5.967999999999999972e-01 2.704800000000000182e+02
1.581712612719324112e+09 -5.968999999999999861e-01 2.704800000000000182e+02
1.581712612818162918e+09 -5.967999999999999972e-01 2.704800000000000182e+02
1.581712612918098927e+09 -5.967000000000000082e-01 2.704700000000000273e+02
1.581712613018328905e+09 -5.967000000000000082e-01 2.704700000000000273e+02
1.581712613117363930e+09 -5.967999999999999972e-01 2.704700000000000273e+02
1.581712613217097998e+09 -5.965000000000000302e-01 2.704700000000000273e+02
