# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 90.00
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: pointing down callibration; liquid nitrogen
1.581713096334167004e+09 -8.872999999999999776e-01 7.779399999999999693e+01
1.581713096443067074e+09 -8.870999999999999996e-01 7.779399999999999693e+01
1.581713096542109966e+09 -8.870999999999999996e-01 7.780200000000000671e+01
1.581713096642268896e+09 -8.869000000000000217e-01 7.780299999999999727e+01
1.581713096742263079e+09 -8.871999999999999886e-01 7.780299999999999727e+01
1.581713096841044903e+09 -8.875999999999999446e-01 7.780100000000000193e+01
1.581713096941103935e+09 -8.871999999999999886e-01 7.780599999999999739e+01
1.581713097039910078e+09 -8.871999999999999886e-01 7.780599999999999739e+01
1.581713097140134096e+09 -8.872999999999999776e-01 7.780899999999999750e+01
1.581713097239128113e+09 -8.870000000000000107e-01 7.781399999999999295e+01
1.581713097339162111e+09 -8.870000000000000107e-01 7.781100000000000705e+01
1.581713097448405027e+09 -8.868000000000000327e-01 7.781100000000000705e+01
1.581713097552994013e+09 -8.870999999999999996e-01 7.781100000000000705e+01
1.581713097647308111e+09 -8.868000000000000327e-01 7.779500000000000171e+01
1.581713097752120972e+09 -8.868000000000000327e-01 7.779500000000000171e+01
1.581713097852022886e+09 -8.867000000000000437e-01 7.779300000000000637e+01
1.581713097951073885e+09 -8.870999999999999996e-01 7.778799999999999670e+01
1.581713098050880909e+09 -8.870000000000000107e-01 7.778799999999999670e+01
1.581713098149796963e+09 -8.870999999999999996e-01 7.778900000000000148e+01
1.581713098249830961e+09 -8.871999999999999886e-01 7.779099999999999682e+01
1.581713098359679937e+09 -8.870999999999999996e-01 7.779600000000000648e+01
1.581713098458657026e+09 -8.871999999999999886e-01 7.779600000000000648e+01
1.581713098558918953e+09 -8.871999999999999886e-01 7.779399999999999693e+01
1.581713098658993959e+09 -8.870000000000000107e-01 7.779500000000000171e+01
1.581713098758791924e+09 -8.873999999999999666e-01 7.779500000000000171e+01
1.581713098858513117e+09 -8.873999999999999666e-01 7.779300000000000637e+01
1.581713098958309889e+09 -8.871999999999999886e-01 7.779699999999999704e+01
1.581713099058063984e+09 -8.872999999999999776e-01 7.780100000000000193e+01
1.581713099157866955e+09 -8.871999999999999886e-01 7.780100000000000193e+01
1.581713099273962021e+09 -8.874999999999999556e-01 7.780200000000000671e+01
1.581713099373923063e+09 -8.870999999999999996e-01 7.780599999999999739e+01
1.581713099473778009e+09 -8.871999999999999886e-01 7.780599999999999739e+01
1.581713099572990894e+09 -8.870999999999999996e-01 7.780700000000000216e+01
1.581713099672786951e+09 -8.869000000000000217e-01 7.780899999999999750e+01
1.581713099771934986e+09 -8.870999999999999996e-01 7.780899999999999750e+01
1.581713099871751070e+09 -8.870000000000000107e-01 7.780800000000000693e+01
1.581713099966543913e+09 -8.869000000000000217e-01 7.780500000000000682e+01
1.581713100070807934e+09 -8.868000000000000327e-01 7.780400000000000205e+01
1.581713100170906067e+09 -8.863999999999999657e-01 7.780400000000000205e+01
1.581713100285044909e+09 -8.867000000000000437e-01 7.778199999999999648e+01
1.581713100383786917e+09 -8.864999999999999547e-01 7.780299999999999727e+01
1.581713100483761072e+09 -8.863999999999999657e-01 7.780299999999999727e+01
1.581713100583043098e+09 -8.869000000000000217e-01 7.780299999999999727e+01
1.581713100682775021e+09 -8.867000000000000437e-01 7.780700000000000216e+01
1.581713100782857895e+09 -8.868000000000000327e-01 7.780500000000000682e+01
1.581713100881948948e+09 -8.864999999999999547e-01 7.780500000000000682e+01
1.581713100981671095e+09 -8.860999999999999988e-01 7.780599999999999739e+01
1.581713101080754042e+09 -8.863999999999999657e-01 7.780299999999999727e+01
1.581713101180860996e+09 -8.854999999999999538e-01 7.780299999999999727e+01
1.581713101294935942e+09 -8.847000000000000419e-01 7.780500000000000682e+01
1.581713101393912077e+09 -8.850000000000000089e-01 7.780700000000000216e+01
1.581713101493776083e+09 -8.853999999999999648e-01 7.780700000000000216e+01
1.581713101593770981e+09 -8.858000000000000318e-01 7.780500000000000682e+01
1.581713101692801952e+09 -8.860000000000000098e-01 7.780700000000000216e+01
1.581713101792979956e+09 -8.857000000000000428e-01 7.780800000000000693e+01
1.581713101892888069e+09 -8.860999999999999988e-01 7.780800000000000693e+01
1.581713101991646051e+09 -8.868000000000000327e-01 7.780700000000000216e+01
1.581713102105828047e+09 -8.867000000000000437e-01 7.780899999999999750e+01
1.581713102200599909e+09 -8.863999999999999657e-01 7.780899999999999750e+01
1.581713102300362110e+09 -8.862999999999999767e-01 7.780299999999999727e+01
1.581713102400136948e+09 -8.867000000000000437e-01 7.780200000000000671e+01
1.581713102499876022e+09 -8.864999999999999547e-01 7.780400000000000205e+01
1.581713102599658966e+09 -8.867000000000000437e-01 7.780400000000000205e+01
1.581713102699424982e+09 -8.863999999999999657e-01 7.779900000000000659e+01
1.581713102799210072e+09 -8.867000000000000437e-01 7.779900000000000659e+01
1.581713102898955107e+09 -8.867000000000000437e-01 7.779900000000000659e+01
1.581713102998716116e+09 -8.863999999999999657e-01 7.780100000000000193e+01
1.581713103115104914e+09 -8.861999999999999877e-01 7.780400000000000205e+01
1.581713103214874983e+09 -8.864999999999999547e-01 7.780400000000000205e+01
1.581713103314867020e+09 -8.868000000000000327e-01 7.780700000000000216e+01
1.581713103414407015e+09 -8.864999999999999547e-01 7.780700000000000216e+01
1.581713103513844967e+09 -8.868000000000000327e-01 7.780400000000000205e+01
1.581713103613651991e+09 -8.867000000000000437e-01 7.780400000000000205e+01
1.581713103713521957e+09 -8.866000000000000547e-01 7.780500000000000682e+01
1.581713103812764883e+09 -8.867000000000000437e-01 7.780500000000000682e+01
1.581713103912627935e+09 -8.867000000000000437e-01 7.780500000000000682e+01
1.581713104011667013e+09 -8.870000000000000107e-01 7.780299999999999727e+01
1.581713104125670910e+09 -8.869000000000000217e-01 7.781900000000000261e+01
1.581713104225775003e+09 -8.870999999999999996e-01 7.781999999999999318e+01
1.581713104325675011e+09 -8.869000000000000217e-01 7.781999999999999318e+01
1.581713104424554110e+09 -8.870999999999999996e-01 7.781699999999999307e+01
1.581713104524610043e+09 -8.863999999999999657e-01 7.781999999999999318e+01
1.581713104623495102e+09 -8.859000000000000208e-01 7.781999999999999318e+01
1.581713104723504066e+09 -8.860999999999999988e-01 7.782200000000000273e+01
1.581713104823462009e+09 -8.856000000000000538e-01 7.782299999999999329e+01
1.581713104922586918e+09 -8.860999999999999988e-01 7.782299999999999329e+01
1.581713105022453070e+09 -8.860000000000000098e-01 7.782399999999999807e+01
1.581713105136488914e+09 -8.859000000000000208e-01 7.782099999999999795e+01
1.581713105235419989e+09 -8.860999999999999988e-01 7.781600000000000250e+01
1.581713105335366964e+09 -8.860000000000000098e-01 7.781600000000000250e+01
1.581713105434372902e+09 -8.860000000000000098e-01 7.781799999999999784e+01
1.581713105534460068e+09 -8.862999999999999767e-01 7.781499999999999773e+01
1.581713105634516001e+09 -8.860000000000000098e-01 7.781499999999999773e+01
1.581713105733375072e+09 -8.862999999999999767e-01 7.781900000000000261e+01
1.581713105833448887e+09 -8.863999999999999657e-01 7.781799999999999784e+01
1.581713105932456017e+09 -8.860000000000000098e-01 7.781799999999999784e+01
1.581713106041491032e+09 -8.859000000000000208e-01 7.781799999999999784e+01
1.581713106146368027e+09 -8.863999999999999657e-01 7.781600000000000250e+01
1.581713106245450974e+09 -8.862999999999999767e-01 7.781699999999999307e+01
1.581713106340774059e+09 -8.860999999999999988e-01 7.781699999999999307e+01
1.581713106440553904e+09 -8.860999999999999988e-01 7.781999999999999318e+01
1.581713106540329933e+09 -8.859000000000000208e-01 7.782299999999999329e+01
1.581713106643441916e+09 -8.863999999999999657e-01 7.782299999999999329e+01
1.581713106739830971e+09 -8.863999999999999657e-01 7.782200000000000273e+01
1.581713106839591980e+09 -8.868000000000000327e-01 7.782099999999999795e+01
1.581713106955998898e+09 -8.864999999999999547e-01 7.781699999999999307e+01
1.581713107056534052e+09 -8.866000000000000547e-01 7.781699999999999307e+01
1.581713107155530930e+09 -8.867000000000000437e-01 7.781799999999999784e+01
1.581713107255311012e+09 -8.864999999999999547e-01 7.781199999999999761e+01
1.581713107355078936e+09 -8.868000000000000327e-01 7.781199999999999761e+01
1.581713107455271006e+09 -8.870000000000000107e-01 7.781399999999999295e+01
1.581713107554485083e+09 -8.867000000000000437e-01 7.781799999999999784e+01
1.581713107654331923e+09 -8.870000000000000107e-01 7.781799999999999784e+01
1.581713107754102945e+09 -8.869000000000000217e-01 7.781799999999999784e+01
1.581713107853266954e+09 -8.869000000000000217e-01 7.781900000000000261e+01
1.581713107967236042e+09 -8.871999999999999886e-01 7.781600000000000250e+01
1.581713108067388058e+09 -8.870000000000000107e-01 7.781600000000000250e+01
1.581713108166280031e+09 -8.870000000000000107e-01 7.781199999999999761e+01
1.581713108266453028e+09 -8.873999999999999666e-01 7.780599999999999739e+01
1.581713108366187096e+09 -8.872999999999999776e-01 7.780599999999999739e+01
1.581713108465234041e+09 -8.872999999999999776e-01 7.779500000000000171e+01
1.581713108565138102e+09 -8.873999999999999666e-01 7.779500000000000171e+01
1.581713108664258003e+09 -8.868000000000000327e-01 7.779600000000000648e+01
1.581713108764420986e+09 -8.868000000000000327e-01 7.779600000000000648e+01
1.581713108863121033e+09 -8.864999999999999547e-01 7.779500000000000171e+01
1.581713108977159977e+09 -8.860000000000000098e-01 7.779600000000000648e+01
