# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 90.00
# Calibrator used: YES
# Weather: very clear
# Units: tenth of microWatt
# Comments: pointing down callibration; liquid nitrogen; no foil shield
1.581713251561260939e+09 -9.222000000000000197e-01 7.778199999999999648e+01
1.581713251651942968e+09 -9.224999999999999867e-01 7.778199999999999648e+01
1.581713251750595093e+09 -9.203000000000000069e-01 7.778700000000000614e+01
1.581713251850987911e+09 -9.202000000000000179e-01 7.778700000000000614e+01
1.581713251950764894e+09 -9.192000000000000171e-01 7.778900000000000148e+01
1.581713252044898033e+09 -9.193999999999999950e-01 7.779399999999999693e+01
1.581713252150079966e+09 -9.197999999999999510e-01 7.779399999999999693e+01
1.581713252244447947e+09 -9.193999999999999950e-01 7.779200000000000159e+01
1.581713252344173908e+09 -9.196999999999999620e-01 7.779200000000000159e+01
1.581713252443892956e+09 -9.194999999999999840e-01 7.779200000000000159e+01
1.581713252560336113e+09 -9.193000000000000060e-01 7.779200000000000159e+01
1.581713252660116911e+09 -9.192000000000000171e-01 7.779099999999999682e+01
1.581713252759807110e+09 -9.183000000000000052e-01 7.779000000000000625e+01
1.581713252861058950e+09 -9.137999999999999456e-01 7.779000000000000625e+01
1.581713252959383011e+09 -9.145999999999999686e-01 7.779099999999999682e+01
1.581713253059124947e+09 -9.146999999999999575e-01 7.779000000000000625e+01
1.581713253158844948e+09 -9.150000000000000355e-01 7.779000000000000625e+01
1.581713253258676052e+09 -9.149000000000000465e-01 7.778900000000000148e+01
1.581713253373167038e+09 -9.153000000000000025e-01 7.779099999999999682e+01
1.581713253472915888e+09 -9.151000000000000245e-01 7.778799999999999670e+01
1.581713253572735071e+09 -9.151000000000000245e-01 7.778799999999999670e+01
1.581713253671876907e+09 -9.147999999999999465e-01 7.778799999999999670e+01
1.581713253771657944e+09 -9.147999999999999465e-01 7.778700000000000614e+01
1.581713253872081041e+09 -9.150000000000000355e-01 7.778700000000000614e+01
1.581713253970669985e+09 -9.154999999999999805e-01 7.778700000000000614e+01
1.581713254070873976e+09 -9.151000000000000245e-01 7.778700000000000614e+01
1.581713254169822931e+09 -9.153000000000000025e-01 7.778700000000000614e+01
1.581713254283813000e+09 -9.153000000000000025e-01 7.778700000000000614e+01
1.581713254383717060e+09 -9.154999999999999805e-01 7.778700000000000614e+01
1.581713254482630968e+09 -9.154999999999999805e-01 7.778700000000000614e+01
1.581713254582753897e+09 -9.163999999999999924e-01 7.778700000000000614e+01
1.581713254678497076e+09 -9.170000000000000373e-01 7.778799999999999670e+01
1.581713254781687021e+09 -9.169000000000000483e-01 7.781399999999999295e+01
1.581713254881776094e+09 -9.171000000000000263e-01 7.781399999999999295e+01
1.581713254980858088e+09 -9.172000000000000153e-01 7.781499999999999773e+01
1.581713255080616951e+09 -9.175999999999999712e-01 7.781699999999999307e+01
1.581713255180604935e+09 -9.171000000000000263e-01 7.782200000000000273e+01
1.581713255293555975e+09 -9.174999999999999822e-01 7.782200000000000273e+01
1.581713255393663883e+09 -9.175999999999999712e-01 7.782200000000000273e+01
1.581713255493613005e+09 -9.174999999999999822e-01 7.782699999999999818e+01
1.581713255592556000e+09 -9.175999999999999712e-01 7.782699999999999818e+01
1.581713255692461967e+09 -9.173999999999999932e-01 7.781600000000000250e+01
1.581713255787506104e+09 -9.174999999999999822e-01 7.781799999999999784e+01
1.581713255891370058e+09 -9.170000000000000373e-01 7.781999999999999318e+01
1.581713255991538048e+09 -9.175999999999999712e-01 7.781999999999999318e+01
1.581713256101908922e+09 -9.172000000000000153e-01 7.782999999999999829e+01
1.581713256204577923e+09 -9.173999999999999932e-01 7.782500000000000284e+01
1.581713256301440001e+09 -9.175999999999999712e-01 7.782500000000000284e+01
1.581713256401248932e+09 -9.174999999999999822e-01 7.782999999999999829e+01
1.581713256500978947e+09 -9.174999999999999822e-01 7.782399999999999807e+01
1.581713256601962090e+09 -9.176999999999999602e-01 7.782399999999999807e+01
1.581713256700475931e+09 -9.177999999999999492e-01 7.782099999999999795e+01
1.581713256800287008e+09 -9.183000000000000052e-01 7.782399999999999807e+01
1.581713256899986029e+09 -9.183000000000000052e-01 7.782099999999999795e+01
1.581713257015660048e+09 -9.176999999999999602e-01 7.782099999999999795e+01
1.581713257115467072e+09 -9.177999999999999492e-01 7.781199999999999761e+01
1.581713257214662075e+09 -9.176999999999999602e-01 7.780899999999999750e+01
1.581713257314481974e+09 -9.176999999999999602e-01 7.780899999999999750e+01
1.581713257413506031e+09 -9.177999999999999492e-01 7.780100000000000193e+01
1.581713257513400078e+09 -9.176999999999999602e-01 7.779999999999999716e+01
1.581713257611071110e+09 -9.175999999999999712e-01 7.780200000000000671e+01
1.581713257712580919e+09 -9.174999999999999822e-01 7.780200000000000671e+01
1.581713257826509953e+09 -9.171000000000000263e-01 7.780299999999999727e+01
1.581713257926342010e+09 -9.171000000000000263e-01 7.780500000000000682e+01
1.581713258025433064e+09 -9.166999999999999593e-01 7.780500000000000682e+01
1.581713258125452042e+09 -9.172000000000000153e-01 7.780500000000000682e+01
1.581713258225461960e+09 -9.172000000000000153e-01 7.780700000000000216e+01
1.581713258324350119e+09 -9.175999999999999712e-01 7.780700000000000216e+01
1.581713258424391031e+09 -9.173000000000000043e-01 7.780500000000000682e+01
1.581713258523494005e+09 -9.173000000000000043e-01 7.779999999999999716e+01
1.581713258623347998e+09 -9.173000000000000043e-01 7.779699999999999704e+01
1.581713258723308086e+09 -9.174999999999999822e-01 7.779699999999999704e+01
1.581713258836252928e+09 -9.175999999999999712e-01 7.780100000000000193e+01
1.581713258936361074e+09 -9.173999999999999932e-01 7.780500000000000682e+01
1.581713259036318064e+09 -9.171000000000000263e-01 7.780500000000000682e+01
1.581713259135363102e+09 -9.174999999999999822e-01 7.778100000000000591e+01
1.581713259235265970e+09 -9.173999999999999932e-01 7.778000000000000114e+01
1.581713259333883047e+09 -9.172000000000000153e-01 7.778100000000000591e+01
1.581713259434376001e+09 -9.172000000000000153e-01 7.778100000000000591e+01
1.581713259534406900e+09 -9.172000000000000153e-01 7.778100000000000591e+01
1.581713259643491030e+09 -9.173000000000000043e-01 7.778199999999999648e+01
1.581713259743257999e+09 -9.162000000000000144e-01 7.778199999999999648e+01
1.581713259847234964e+09 -9.160000000000000364e-01 7.777800000000000580e+01
1.581713259942770004e+09 -9.161000000000000254e-01 7.778000000000000114e+01
1.581713260042578936e+09 -9.160000000000000364e-01 7.778000000000000114e+01
1.581713260142314911e+09 -9.159000000000000474e-01 7.777899999999999636e+01
1.581713260242090940e+09 -9.156999999999999584e-01 7.778000000000000114e+01
1.581713260341850996e+09 -9.161000000000000254e-01 7.778300000000000125e+01
1.581713260441634893e+09 -9.159000000000000474e-01 7.778300000000000125e+01
1.581713260541373968e+09 -9.160000000000000364e-01 7.778400000000000603e+01
1.581713260657790899e+09 -9.160000000000000364e-01 7.778300000000000125e+01
1.581713260757181883e+09 -9.162000000000000144e-01 7.778300000000000125e+01
1.581713260857202053e+09 -9.173000000000000043e-01 7.778499999999999659e+01
1.581713260956302881e+09 -9.179000000000000492e-01 7.778499999999999659e+01
1.581713261056278944e+09 -9.184999999999999831e-01 7.778700000000000614e+01
1.581713261156151056e+09 -9.185999999999999721e-01 7.778700000000000614e+01
1.581713261255120039e+09 -9.127999999999999448e-01 7.778799999999999670e+01
1.581713261355102062e+09 -9.144999999999999796e-01 7.779000000000000625e+01
1.581713261454210043e+09 -9.156999999999999584e-01 7.779000000000000625e+01
1.581713261565021038e+09 -9.169000000000000483e-01 7.779000000000000625e+01
1.581713261668133020e+09 -9.173000000000000043e-01 7.778799999999999670e+01
