# 
# Duration (in s): 10
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 89.05
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: pointing at sky ( microwatt)  pizza 
1.581708462576106071e+09 -1.728999999999999981e-01 2.714399999999999977e+02
1.581708462703489065e+09 -1.728000000000000091e-01 2.714399999999999977e+02
1.581708462798445940e+09 -1.728000000000000091e-01 2.714399999999999977e+02
1.581708462902312994e+09 -1.728999999999999981e-01 2.714399999999999977e+02
1.581708463002489090e+09 -1.728999999999999981e-01 2.714399999999999977e+02
1.581708463101671934e+09 -1.728000000000000091e-01 2.714300000000000068e+02
1.581708463201495886e+09 -1.728999999999999981e-01 2.714300000000000068e+02
1.581708463296390057e+09 -1.728999999999999981e-01 2.714300000000000068e+02
1.581708463398236990e+09 -1.726999999999999924e-01 2.714300000000000068e+02
1.581708463498564959e+09 -1.726000000000000034e-01 2.714300000000000068e+02
1.581708463609587908e+09 -1.726999999999999924e-01 2.714300000000000068e+02
1.581708463711144924e+09 -1.724999999999999867e-01 2.714200000000000159e+02
1.581708463810969114e+09 -1.726000000000000034e-01 2.714200000000000159e+02
1.581708463909060001e+09 -1.726000000000000034e-01 2.714300000000000068e+02
1.581708464007813931e+09 -1.726000000000000034e-01 2.714200000000000159e+02
1.581708464110184908e+09 -1.724999999999999867e-01 2.714100000000000250e+02
1.581708464206445932e+09 -1.726999999999999924e-01 2.714100000000000250e+02
1.581708464307857990e+09 -1.726000000000000034e-01 2.714100000000000250e+02
1.581708464407154083e+09 -1.726999999999999924e-01 2.714100000000000250e+02
1.581708464524898052e+09 -1.726999999999999924e-01 2.713999999999999773e+02
1.581708464619460106e+09 -1.728000000000000091e-01 2.714100000000000250e+02
1.581708464719469070e+09 -1.726999999999999924e-01 2.714100000000000250e+02
1.581708464823549986e+09 -1.728000000000000091e-01 2.713999999999999773e+02
1.581708464923394918e+09 -1.728000000000000091e-01 2.713999999999999773e+02
1.581708465023264885e+09 -1.728000000000000091e-01 2.713999999999999773e+02
1.581708465122442007e+09 -1.728000000000000091e-01 2.713999999999999773e+02
1.581708465222449064e+09 -1.726999999999999924e-01 2.713999999999999773e+02
1.581708465321340084e+09 -1.728000000000000091e-01 2.713899999999999864e+02
1.581708465435297012e+09 -1.728999999999999981e-01 2.713899999999999864e+02
1.581708465535259008e+09 -1.726999999999999924e-01 2.713899999999999864e+02
1.581708465634216070e+09 -1.726999999999999924e-01 2.713899999999999864e+02
1.581708465734244108e+09 -1.726999999999999924e-01 2.713799999999999955e+02
1.581708465832967997e+09 -1.726999999999999924e-01 2.713799999999999955e+02
1.581708465933326006e+09 -1.726999999999999924e-01 2.713799999999999955e+02
1.581708466033411026e+09 -1.726000000000000034e-01 2.713799999999999955e+02
1.581708466132242918e+09 -1.726999999999999924e-01 2.713799999999999955e+02
1.581708466232224941e+09 -1.724999999999999867e-01 2.713799999999999955e+02
1.581708466346112013e+09 -1.726999999999999924e-01 2.713799999999999955e+02
1.581708466445125103e+09 -1.726000000000000034e-01 2.713799999999999955e+02
1.581708466545403957e+09 -1.724999999999999867e-01 2.713700000000000045e+02
1.581708466639034986e+09 -1.724999999999999867e-01 2.713700000000000045e+02
1.581708466744106054e+09 -1.724999999999999867e-01 2.713799999999999955e+02
1.581708466844146967e+09 -1.724999999999999867e-01 2.713700000000000045e+02
1.581708466943314075e+09 -1.723999999999999977e-01 2.713700000000000045e+02
1.581708467043284893e+09 -1.724999999999999867e-01 2.713700000000000045e+02
1.581708467142124891e+09 -1.724999999999999867e-01 2.713700000000000045e+02
1.581708467242047071e+09 -1.726000000000000034e-01 2.713700000000000045e+02
1.581708467352443933e+09 -1.726000000000000034e-01 2.713700000000000045e+02
1.581708467452192068e+09 -1.726000000000000034e-01 2.713700000000000045e+02
1.581708467551984072e+09 -1.726000000000000034e-01 2.713700000000000045e+02
1.581708467651727915e+09 -1.726999999999999924e-01 2.713700000000000045e+02
1.581708467751502991e+09 -1.726999999999999924e-01 2.713700000000000045e+02
1.581708467851262093e+09 -1.726999999999999924e-01 2.713700000000000045e+02
1.581708467951059103e+09 -1.728000000000000091e-01 2.713700000000000045e+02
1.581708468050760984e+09 -1.728000000000000091e-01 2.713700000000000045e+02
1.581708468166999102e+09 -1.726999999999999924e-01 2.713600000000000136e+02
1.581708468265991926e+09 -1.728000000000000091e-01 2.713700000000000045e+02
1.581708468366030931e+09 -1.728000000000000091e-01 2.713700000000000045e+02
1.581708468466124058e+09 -1.726999999999999924e-01 2.713600000000000136e+02
1.581708468565125942e+09 -1.726999999999999924e-01 2.713600000000000136e+02
1.581708468661660910e+09 -1.726999999999999924e-01 2.713600000000000136e+02
1.581708468762691975e+09 -1.726999999999999924e-01 2.713600000000000136e+02
1.581708468864154100e+09 -1.726000000000000034e-01 2.713600000000000136e+02
1.581708468964019060e+09 -1.726999999999999924e-01 2.713600000000000136e+02
1.581708469063147068e+09 -1.728000000000000091e-01 2.713600000000000136e+02
1.581708469173513889e+09 -1.724999999999999867e-01 2.713600000000000136e+02
1.581708469276844978e+09 -1.729999999999999871e-01 2.713600000000000136e+02
1.581708469375833988e+09 -1.726999999999999924e-01 2.713600000000000136e+02
1.581708469476007938e+09 -1.723999999999999977e-01 2.713600000000000136e+02
1.581708469575560093e+09 -1.724999999999999867e-01 2.713600000000000136e+02
1.581708469675075054e+09 -1.724999999999999867e-01 2.713600000000000136e+02
1.581708469774796009e+09 -1.724999999999999867e-01 2.713600000000000136e+02
1.581708469873883963e+09 -1.724999999999999867e-01 2.713600000000000136e+02
1.581708469968610048e+09 -1.726999999999999924e-01 2.713600000000000136e+02
1.581708470087956905e+09 -1.726000000000000034e-01 2.713600000000000136e+02
1.581708470184770107e+09 -1.726999999999999924e-01 2.713600000000000136e+02
1.581708470286835909e+09 -1.726999999999999924e-01 2.713600000000000136e+02
1.581708470386801958e+09 -1.728000000000000091e-01 2.713600000000000136e+02
1.581708470485913038e+09 -1.728000000000000091e-01 2.713600000000000136e+02
1.581708470580697060e+09 -1.728999999999999981e-01 2.713600000000000136e+02
1.581708470685503960e+09 -1.728999999999999981e-01 2.713600000000000136e+02
1.581708470784809113e+09 -1.728000000000000091e-01 2.713600000000000136e+02
1.581708470893951893e+09 -1.728000000000000091e-01 2.713600000000000136e+02
1.581708470993737936e+09 -1.728000000000000091e-01 2.713600000000000136e+02
1.581708471093400002e+09 -1.728000000000000091e-01 2.713600000000000136e+02
1.581708471193247080e+09 -1.728000000000000091e-01 2.713600000000000136e+02
1.581708471291207075e+09 -1.726999999999999924e-01 2.713600000000000136e+02
1.581708471392755985e+09 -1.728000000000000091e-01 2.713600000000000136e+02
1.581708471492520094e+09 -1.728000000000000091e-01 2.713700000000000045e+02
1.581708471592297077e+09 -1.726000000000000034e-01 2.713600000000000136e+02
1.581708471692056894e+09 -1.726999999999999924e-01 2.713700000000000045e+02
1.581708471791826963e+09 -1.726000000000000034e-01 2.713700000000000045e+02
1.581708471908210993e+09 -1.726000000000000034e-01 2.713700000000000045e+02
1.581708472007978916e+09 -1.726999999999999924e-01 2.713700000000000045e+02
1.581708472107686043e+09 -1.726000000000000034e-01 2.713700000000000045e+02
1.581708472207359076e+09 -1.726999999999999924e-01 2.713700000000000045e+02
1.581708472306668997e+09 -1.726999999999999924e-01 2.713700000000000045e+02
1.581708472406560898e+09 -1.726999999999999924e-01 2.713700000000000045e+02
1.581708472506681919e+09 -1.726999999999999924e-01 2.713700000000000045e+02
