# 
# Duration (in s): 10
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 54.95
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: pointing at sky ( microwatt) pizza
1.581709672217859983e+09 -1.693999999999999950e-01 2.716899999999999977e+02
1.581709672315221071e+09 -1.693000000000000060e-01 2.716899999999999977e+02
1.581709672415272951e+09 -1.691999999999999893e-01 2.716899999999999977e+02
1.581709672515741110e+09 -1.691999999999999893e-01 2.716899999999999977e+02
1.581709672614473104e+09 -1.693000000000000060e-01 2.716899999999999977e+02
1.581709672714462996e+09 -1.691999999999999893e-01 2.716899999999999977e+02
1.581709672813462973e+09 -1.691000000000000003e-01 2.716899999999999977e+02
1.581709672913222075e+09 -1.691999999999999893e-01 2.716899999999999977e+02
1.581709673011878014e+09 -1.691999999999999893e-01 2.716899999999999977e+02
1.581709673107742071e+09 -1.693000000000000060e-01 2.716899999999999977e+02
1.581709673207614899e+09 -1.691999999999999893e-01 2.716899999999999977e+02
1.581709673323930979e+09 -1.693000000000000060e-01 2.716899999999999977e+02
1.581709673423662901e+09 -1.693000000000000060e-01 2.716899999999999977e+02
1.581709673523407936e+09 -1.693000000000000060e-01 2.716899999999999977e+02
1.581709673623136997e+09 -1.693000000000000060e-01 2.716899999999999977e+02
1.581709673722923994e+09 -1.693000000000000060e-01 2.716800000000000068e+02
1.581709673822695971e+09 -1.693999999999999950e-01 2.716899999999999977e+02
1.581709673922426939e+09 -1.695000000000000118e-01 2.716899999999999977e+02
1.581709674022233009e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709674122389078e+09 -1.696999999999999897e-01 2.716800000000000068e+02
1.581709674221203089e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709674336375952e+09 -1.696999999999999897e-01 2.716800000000000068e+02
1.581709674435542107e+09 -1.696999999999999897e-01 2.716800000000000068e+02
1.581709674535443068e+09 -1.696999999999999897e-01 2.716800000000000068e+02
1.581709674635380983e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709674734296083e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709674834178925e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709674933151007e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709675033330917e+09 -1.693999999999999950e-01 2.716800000000000068e+02
1.581709675147248983e+09 -1.693999999999999950e-01 2.716800000000000068e+02
1.581709675246279955e+09 -1.693999999999999950e-01 2.716800000000000068e+02
1.581709675346277952e+09 -1.695000000000000118e-01 2.716800000000000068e+02
1.581709675446255922e+09 -1.693999999999999950e-01 2.716800000000000068e+02
1.581709675545269966e+09 -1.693999999999999950e-01 2.716800000000000068e+02
1.581709675645286083e+09 -1.693999999999999950e-01 2.716800000000000068e+02
1.581709675745079994e+09 -1.693000000000000060e-01 2.716800000000000068e+02
1.581709675844260931e+09 -1.693999999999999950e-01 2.716800000000000068e+02
1.581709675944242954e+09 -1.693999999999999950e-01 2.716800000000000068e+02
1.581709676043272018e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709676154439926e+09 -1.695000000000000118e-01 2.716800000000000068e+02
1.581709676257361889e+09 -1.695000000000000118e-01 2.716800000000000068e+02
1.581709676356123924e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709676456123114e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709676556188107e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709676655191898e+09 -1.696999999999999897e-01 2.716800000000000068e+02
1.581709676755143881e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709676854127884e+09 -1.698000000000000065e-01 2.716800000000000068e+02
1.581709676954166889e+09 -1.696999999999999897e-01 2.716800000000000068e+02
1.581709677053997040e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709677164776087e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709677264539957e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709677364293098e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709677464021921e+09 -1.696000000000000008e-01 2.716800000000000068e+02
1.581709677563846111e+09 -1.695000000000000118e-01 2.716899999999999977e+02
1.581709677663613081e+09 -1.696000000000000008e-01 2.716899999999999977e+02
1.581709677763336897e+09 -1.696000000000000008e-01 2.716899999999999977e+02
1.581709677863104105e+09 -1.695000000000000118e-01 2.716899999999999977e+02
1.581709677962846994e+09 -1.693999999999999950e-01 2.716899999999999977e+02
1.581709678062647104e+09 -1.693999999999999950e-01 2.716899999999999977e+02
1.581709678178107977e+09 -1.693999999999999950e-01 2.716899999999999977e+02
1.581709678277154922e+09 -1.695000000000000118e-01 2.716899999999999977e+02
1.581709678377043962e+09 -1.693999999999999950e-01 2.716899999999999977e+02
1.581709678476172924e+09 -1.695000000000000118e-01 2.716899999999999977e+02
1.581709678571825981e+09 -1.695000000000000118e-01 2.716899999999999977e+02
1.581709678671184063e+09 -1.693999999999999950e-01 2.716899999999999977e+02
1.581709678775033951e+09 -1.695000000000000118e-01 2.716899999999999977e+02
1.581709678874870062e+09 -1.696999999999999897e-01 2.716899999999999977e+02
1.581709678988940001e+09 -1.696999999999999897e-01 2.716899999999999977e+02
1.581709679087954044e+09 -1.696999999999999897e-01 2.716899999999999977e+02
1.581709679187932968e+09 -1.696000000000000008e-01 2.716899999999999977e+02
1.581709679286919117e+09 -1.698000000000000065e-01 2.716899999999999977e+02
1.581709679387017012e+09 -1.696999999999999897e-01 2.716899999999999977e+02
1.581709679486985922e+09 -1.696000000000000008e-01 2.716899999999999977e+02
1.581709679586150885e+09 -1.696999999999999897e-01 2.716899999999999977e+02
1.581709679686146021e+09 -1.698000000000000065e-01 2.716899999999999977e+02
1.581709679784990072e+09 -1.696999999999999897e-01 2.716899999999999977e+02
1.581709679884730101e+09 -1.696000000000000008e-01 2.716899999999999977e+02
1.581709679998908997e+09 -1.695000000000000118e-01 2.716899999999999977e+02
1.581709680097882032e+09 -1.695000000000000118e-01 2.716899999999999977e+02
1.581709680197851896e+09 -1.695000000000000118e-01 2.716899999999999977e+02
1.581709680297924042e+09 -1.695000000000000118e-01 2.716899999999999977e+02
1.581709680396850109e+09 -1.693999999999999950e-01 2.716999999999999886e+02
1.581709680496886969e+09 -1.695000000000000118e-01 2.716999999999999886e+02
1.581709680595978975e+09 -1.695000000000000118e-01 2.716999999999999886e+02
1.581709680695921898e+09 -1.693999999999999950e-01 2.716999999999999886e+02
1.581709680795839071e+09 -1.693999999999999950e-01 2.716999999999999886e+02
1.581709680908988953e+09 -1.693999999999999950e-01 2.716999999999999886e+02
1.581709681003763914e+09 -1.695000000000000118e-01 2.716999999999999886e+02
