# 
# Duration (in s): 10
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 70.35
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: pointing at sky pizza
1.581712526494801044e+09 -1.695000000000000118e-01 2.705400000000000205e+02
1.581712526599050999e+09 -1.695000000000000118e-01 2.705400000000000205e+02
1.581712526699206114e+09 -1.695000000000000118e-01 2.705400000000000205e+02
1.581712526798958063e+09 -1.696000000000000008e-01 2.705400000000000205e+02
1.581712526898042917e+09 -1.696000000000000008e-01 2.705400000000000205e+02
1.581712526996622086e+09 -1.695000000000000118e-01 2.705400000000000205e+02
1.581712527097089052e+09 -1.696000000000000008e-01 2.705400000000000205e+02
1.581712527197123051e+09 -1.696999999999999897e-01 2.705299999999999727e+02
1.581712527310857058e+09 -1.696999999999999897e-01 2.705299999999999727e+02
1.581712527408488035e+09 -1.696999999999999897e-01 2.705400000000000205e+02
1.581712527505095959e+09 -1.696999999999999897e-01 2.705400000000000205e+02
1.581712527610038996e+09 -1.696999999999999897e-01 2.705400000000000205e+02
1.581712527709063053e+09 -1.698000000000000065e-01 2.705299999999999727e+02
1.581712527809072018e+09 -1.696999999999999897e-01 2.705299999999999727e+02
1.581712527908018112e+09 -1.698000000000000065e-01 2.705299999999999727e+02
1.581712528007867098e+09 -1.698000000000000065e-01 2.705400000000000205e+02
1.581712528107827902e+09 -1.698000000000000065e-01 2.705299999999999727e+02
1.581712528207184076e+09 -1.696999999999999897e-01 2.705400000000000205e+02
1.581712528307070017e+09 -1.696000000000000008e-01 2.705400000000000205e+02
1.581712528420985937e+09 -1.696999999999999897e-01 2.705299999999999727e+02
1.581712528518716097e+09 -1.696999999999999897e-01 2.705400000000000205e+02
1.581712528620106936e+09 -1.696000000000000008e-01 2.705400000000000205e+02
1.581712528719011068e+09 -1.696000000000000008e-01 2.705299999999999727e+02
1.581712528819077015e+09 -1.695000000000000118e-01 2.705400000000000205e+02
1.581712528918828964e+09 -1.696000000000000008e-01 2.705400000000000205e+02
1.581712529017930031e+09 -1.696000000000000008e-01 2.705400000000000205e+02
1.581712529117899895e+09 -1.695000000000000118e-01 2.705400000000000205e+02
