# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): -89.75
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: calibration (ambient)
1.582315142366915941e+09 1.555999999999999883e-01 2.741700000000000159e+02
1.582315142476660013e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315142579854012e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315142678847075e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315142778965950e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315142893024921e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315142991866112e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315143090547085e+09 1.555999999999999883e-01 2.741800000000000068e+02
1.582315143186861992e+09 1.555999999999999883e-01 2.741800000000000068e+02
1.582315143290833950e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315143386291981e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315143489762068e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315143584041119e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315143686613083e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315143798115969e+09 1.555999999999999883e-01 2.741800000000000068e+02
1.582315143897876024e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315143997633934e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315144097304106e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315144197170019e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315144296829939e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315144396682024e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315144496437073e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315144612781048e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315144712580919e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315144811784029e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315144906850100e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315145011718988e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315145110784054e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315145210747004e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315145309655905e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315145418642044e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315145522578001e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315145622687101e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315145720674038e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315145819766998e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315145920666933e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315146020476103e+09 1.552999999999999936e-01 2.741700000000000159e+02
1.582315146120480061e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315146219423056e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315146319595098e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315146432365894e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315146532471895e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315146626945972e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315146731513023e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315146831527948e+09 1.552999999999999936e-01 2.741700000000000159e+02
1.582315146930648088e+09 1.552999999999999936e-01 2.741700000000000159e+02
1.582315147030364037e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315147129566908e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315147239833117e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315147339636087e+09 1.552999999999999936e-01 2.741700000000000159e+02
1.582315147439394951e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315147539040089e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315147638878107e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315147738643885e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315147838428974e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315147938221931e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315148050487041e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315148153347969e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315148253334999e+09 1.552999999999999936e-01 2.741700000000000159e+02
1.582315148350605011e+09 1.552999999999999936e-01 2.741700000000000159e+02
1.582315148452558041e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315148550281048e+09 1.552999999999999936e-01 2.741700000000000159e+02
1.582315148647506952e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315148750294924e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315148850312948e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315148945465088e+09 1.552999999999999936e-01 2.741700000000000159e+02
1.582315149063430071e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315149163213015e+09 1.552999999999999936e-01 2.741700000000000159e+02
1.582315149257472992e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315149362267971e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315149461240053e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315149561242104e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315149660270929e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315149758583069e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315149874268055e+09 1.552999999999999936e-01 2.741800000000000068e+02
1.582315149973026991e+09 1.552999999999999936e-01 2.741700000000000159e+02
1.582315150073137999e+09 1.552999999999999936e-01 2.741700000000000159e+02
1.582315150172399998e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315150272003889e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315150371200085e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315150471031904e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315150571110010e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315150681607008e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315150781454086e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315150881176949e+09 1.554000000000000103e-01 2.741700000000000159e+02
1.582315150980237007e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315151080610037e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315151180469990e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315151280236959e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315151380016088e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315151479728937e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315151575105906e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315151693933010e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315151793117046e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315151893150091e+09 1.555999999999999883e-01 2.741700000000000159e+02
1.582315151992921114e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315152092109919e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315152191857100e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315152291062117e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315152388026953e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315152503961086e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315152603848934e+09 1.554999999999999993e-01 2.741700000000000159e+02
1.582315152700490952e+09 1.554999999999999993e-01 2.741800000000000068e+02
