# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): -87.60
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: calibration (liquid nitrogen) (thermometer broken)
1.582315467824692965e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315467930970907e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315468031156063e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315468130119085e+09 8.348999999999999755e-01 0.000000000000000000e+00
1.582315468230120897e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315468326006889e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315468429164886e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315468528134108e+09 8.348999999999999755e-01 0.000000000000000000e+00
1.582315468628223896e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315468727047920e+09 8.347999999999999865e-01 0.000000000000000000e+00
1.582315468837927103e+09 8.347999999999999865e-01 0.000000000000000000e+00
1.582315468937040091e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315469038419962e+09 8.348999999999999755e-01 0.000000000000000000e+00
1.582315469139477015e+09 8.349999999999999645e-01 0.000000000000000000e+00
1.582315469233933926e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315469334228992e+09 8.352000000000000535e-01 0.000000000000000000e+00
1.582315469436342955e+09 8.349999999999999645e-01 0.000000000000000000e+00
1.582315469536092043e+09 8.347999999999999865e-01 0.000000000000000000e+00
1.582315469652132988e+09 8.350999999999999535e-01 0.000000000000000000e+00
1.582315469751045942e+09 8.350999999999999535e-01 0.000000000000000000e+00
1.582315469851027966e+09 8.356000000000000094e-01 0.000000000000000000e+00
1.582315469949920893e+09 8.348999999999999755e-01 0.000000000000000000e+00
1.582315470045018911e+09 8.349999999999999645e-01 0.000000000000000000e+00
1.582315470146682024e+09 8.349999999999999645e-01 0.000000000000000000e+00
1.582315470249077082e+09 8.350999999999999535e-01 0.000000000000000000e+00
1.582315470348107100e+09 8.348999999999999755e-01 0.000000000000000000e+00
1.582315470461888075e+09 8.349999999999999645e-01 0.000000000000000000e+00
1.582315470561985016e+09 8.347999999999999865e-01 0.000000000000000000e+00
1.582315470660957098e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315470760991096e+09 8.347999999999999865e-01 0.000000000000000000e+00
1.582315470859941959e+09 8.348999999999999755e-01 0.000000000000000000e+00
1.582315470957870960e+09 8.347999999999999865e-01 0.000000000000000000e+00
1.582315471054802895e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315471159097910e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315471257977009e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315471357865095e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315471468590021e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315471568669081e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315471670949936e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315471770684958e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315471869455099e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315471968358040e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315472065973043e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315472163069010e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315472278098106e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315472379230022e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315472479088068e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315472578843117e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315472678323030e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315472778297901e+09 8.340999999999999526e-01 0.000000000000000000e+00
1.582315472878052950e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315472974318027e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315473092716932e+09 8.347999999999999865e-01 0.000000000000000000e+00
1.582315473191755056e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315473289043903e+09 8.348999999999999755e-01 0.000000000000000000e+00
1.582315473385921001e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315473488882065e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315473586800098e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315473689762115e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315473789594889e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315473883563042e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315473988812923e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315474101701975e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315474198707104e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315474300498009e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315474400631905e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315474497720003e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315474599528074e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315474699717045e+09 8.349999999999999645e-01 0.000000000000000000e+00
1.582315474795346022e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315474912384033e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315475006470919e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315475106676102e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315475211641073e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315475308326006e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315475405612946e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315475505084991e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315475607088089e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315475720706940e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315475821088076e+09 8.340999999999999526e-01 0.000000000000000000e+00
1.582315475920777082e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315476016537905e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315476120508909e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315476216955900e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315476319850922e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315476416743040e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315476519546986e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315476618432045e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315476729393959e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315476832494020e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315476931323051e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315477026650906e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315477126914978e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315477230309963e+09 8.347999999999999865e-01 0.000000000000000000e+00
1.582315477324470043e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315477427867889e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315477539374113e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315477637289047e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315477740638971e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315477841310024e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315477941124916e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315478038183928e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315478140194893e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315478240259886e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315478351176977e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315478453221083e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315478547799110e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315478648904085e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315478747437954e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315478847183943e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315478947045088e+09 8.340999999999999526e-01 0.000000000000000000e+00
1.582315479046727896e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315479146461010e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315479244380951e+09 8.347999999999999865e-01 0.000000000000000000e+00
1.582315479362624884e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315479462188959e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315479559389114e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315479661912918e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315479761105061e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315479858160973e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315479960201979e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315480060069084e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315480173243999e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315480273197889e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315480373079062e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315480471369982e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315480572128057e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315480671123981e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315480768492937e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315480870121002e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315480983989000e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315481081491947e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315481182890892e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315481283001900e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315481377012014e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315481481214046e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315481580888033e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315481680612087e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315481779190063e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315481879949093e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315481989878893e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315482089469910e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315482189173937e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315482287831068e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315482388711929e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315482488471985e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315482585885048e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315482688018084e+09 8.346999999999999975e-01 0.000000000000000000e+00
1.582315482803993940e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315482900430918e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315483002921104e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315483102758884e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315483196585894e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315483300976038e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315483400753975e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315483500704050e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315483614902973e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315483713747978e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315483808645964e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315483911956072e+09 8.344000000000000306e-01 0.000000000000000000e+00
1.582315484012693882e+09 8.347999999999999865e-01 0.000000000000000000e+00
1.582315484111726999e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315484208780050e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315484311638117e+09 8.343000000000000416e-01 0.000000000000000000e+00
1.582315484410736084e+09 8.346000000000000085e-01 0.000000000000000000e+00
1.582315484507080078e+09 8.345000000000000195e-01 0.000000000000000000e+00
1.582315484623617887e+09 8.340999999999999526e-01 0.000000000000000000e+00
1.582315484723700047e+09 8.342000000000000526e-01 0.000000000000000000e+00
1.582315484822005033e+09 8.339999999999999636e-01 0.000000000000000000e+00
