# 
# Duration (in s): 60
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): -88.8
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: liquid nitrogen calibration
1.582318990383259058e+09 8.247999999999999776e-01 0.000000000000000000e+00
1.582318990517731905e+09 8.245999999999999996e-01 0.000000000000000000e+00
1.582318990616812944e+09 8.245999999999999996e-01 0.000000000000000000e+00
1.582318990715768099e+09 8.247999999999999776e-01 0.000000000000000000e+00
1.582318990815737009e+09 8.244000000000000217e-01 0.000000000000000000e+00
1.582318990914845943e+09 8.246999999999999886e-01 0.000000000000000000e+00
1.582318991013736963e+09 8.245999999999999996e-01 0.000000000000000000e+00
1.582318991113717079e+09 8.245000000000000107e-01 0.000000000000000000e+00
1.582318991225523949e+09 8.243000000000000327e-01 0.000000000000000000e+00
1.582318991326666117e+09 8.242000000000000437e-01 0.000000000000000000e+00
1.582318991426700115e+09 8.241000000000000547e-01 0.000000000000000000e+00
1.582318991525785923e+09 8.243000000000000327e-01 0.000000000000000000e+00
1.582318991625744104e+09 8.241000000000000547e-01 0.000000000000000000e+00
1.582318991724762917e+09 8.236999999999999877e-01 0.000000000000000000e+00
1.582318991824625969e+09 8.235999999999999988e-01 0.000000000000000000e+00
1.582318991922384024e+09 8.235999999999999988e-01 0.000000000000000000e+00
1.582318992023519039e+09 8.235999999999999988e-01 0.000000000000000000e+00
1.582318992132096052e+09 8.234000000000000208e-01 0.000000000000000000e+00
1.582318992234246016e+09 8.233000000000000318e-01 0.000000000000000000e+00
1.582318992331269979e+09 8.235000000000000098e-01 0.000000000000000000e+00
1.582318992431261063e+09 8.234000000000000208e-01 0.000000000000000000e+00
1.582318992531032085e+09 8.235999999999999988e-01 0.000000000000000000e+00
1.582318992630918980e+09 8.233000000000000318e-01 0.000000000000000000e+00
1.582318992733510017e+09 8.232000000000000428e-01 0.000000000000000000e+00
1.582318992829341888e+09 8.233000000000000318e-01 0.000000000000000000e+00
1.582318992929970980e+09 8.229999999999999538e-01 0.000000000000000000e+00
1.582318993046542883e+09 8.231000000000000538e-01 0.000000000000000000e+00
1.582318993145690918e+09 8.233000000000000318e-01 0.000000000000000000e+00
1.582318993245656967e+09 8.233000000000000318e-01 0.000000000000000000e+00
1.582318993344676971e+09 8.232000000000000428e-01 0.000000000000000000e+00
1.582318993444576979e+09 8.231000000000000538e-01 0.000000000000000000e+00
1.582318993543540955e+09 8.235000000000000098e-01 0.000000000000000000e+00
1.582318993639044046e+09 8.235000000000000098e-01 0.000000000000000000e+00
1.582318993738327026e+09 8.235999999999999988e-01 0.000000000000000000e+00
1.582318993856476068e+09 8.234000000000000208e-01 0.000000000000000000e+00
1.582318993955728054e+09 8.235000000000000098e-01 0.000000000000000000e+00
1.582318994055469036e+09 8.234000000000000208e-01 0.000000000000000000e+00
1.582318994154457092e+09 8.235999999999999988e-01 0.000000000000000000e+00
1.582318994254478931e+09 8.234000000000000208e-01 0.000000000000000000e+00
1.582318994354376078e+09 8.232000000000000428e-01 0.000000000000000000e+00
1.582318994453450918e+09 8.233000000000000318e-01 0.000000000000000000e+00
1.582318994548007011e+09 8.233000000000000318e-01 0.000000000000000000e+00
1.582318994652475119e+09 8.235000000000000098e-01 0.000000000000000000e+00
1.582318994765254974e+09 8.234000000000000208e-01 0.000000000000000000e+00
1.582318994861849070e+09 8.235000000000000098e-01 0.000000000000000000e+00
1.582318994959197998e+09 8.235999999999999988e-01 0.000000000000000000e+00
1.582318995064353943e+09 8.237999999999999767e-01 0.000000000000000000e+00
1.582318995160074949e+09 8.238999999999999657e-01 0.000000000000000000e+00
1.582318995263271093e+09 8.235000000000000098e-01 0.000000000000000000e+00
