# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): -87.60
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: calibration (liquid nitrogen) (thermometer broken)
1.582315414656848907e+09 8.354000000000000314e-01 7.771999999999999886e+01
1.582315414767060995e+09 8.353000000000000425e-01 7.771999999999999886e+01
1.582315414866800070e+09 8.352000000000000535e-01 7.771999999999999886e+01
1.582315414966557980e+09 8.352000000000000535e-01 7.771999999999999886e+01
1.582315415066140890e+09 8.352000000000000535e-01 7.771999999999999886e+01
1.582315415166064024e+09 8.348999999999999755e-01 7.771999999999999886e+01
1.582315415265178919e+09 8.350999999999999535e-01 7.771999999999999886e+01
1.582315415365318060e+09 8.350999999999999535e-01 7.771999999999999886e+01
1.582315415464169979e+09 8.348999999999999755e-01 7.771999999999999886e+01
1.582315415578197002e+09 8.349999999999999645e-01 7.771999999999999886e+01
1.582315415678313971e+09 8.348999999999999755e-01 7.771999999999999886e+01
1.582315415777225971e+09 8.345000000000000195e-01 7.771999999999999886e+01
1.582315415877043962e+09 8.345000000000000195e-01 7.771999999999999886e+01
1.582315415976197004e+09 8.345000000000000195e-01 7.771999999999999886e+01
1.582315416076308966e+09 8.344000000000000306e-01 7.771999999999999886e+01
1.582315416175172091e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315416275012970e+09 8.338999999999999746e-01 7.771999999999999886e+01
1.582315416389018059e+09 8.337999999999999856e-01 7.771999999999999886e+01
1.582315416488051891e+09 8.336999999999999966e-01 7.771999999999999886e+01
1.582315416588097095e+09 8.335000000000000187e-01 7.771999999999999886e+01
1.582315416687078953e+09 8.335000000000000187e-01 7.771999999999999886e+01
1.582315416787096977e+09 8.336000000000000076e-01 7.771999999999999886e+01
1.582315416886193037e+09 8.337999999999999856e-01 7.771999999999999886e+01
1.582315416986126900e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315417085067987e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315417184860945e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315417284023046e+09 8.337999999999999856e-01 7.771999999999999886e+01
1.582315417394094944e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315417494627953e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315417596498966e+09 8.342000000000000526e-01 7.771999999999999886e+01
1.582315417693402052e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315417793164968e+09 8.344000000000000306e-01 7.771999999999999886e+01
1.582315417892877102e+09 8.346999999999999975e-01 7.771999999999999886e+01
1.582315417992655039e+09 8.347999999999999865e-01 7.771999999999999886e+01
1.582315418092427015e+09 8.346999999999999975e-01 7.771999999999999886e+01
1.582315418208811998e+09 8.348999999999999755e-01 7.771999999999999886e+01
1.582315418307872057e+09 8.348999999999999755e-01 7.771999999999999886e+01
1.582315418407829046e+09 8.346000000000000085e-01 7.771999999999999886e+01
1.582315418506838083e+09 8.346999999999999975e-01 7.771999999999999886e+01
1.582315418606745005e+09 8.347999999999999865e-01 7.771999999999999886e+01
1.582315418705815077e+09 8.346000000000000085e-01 7.771999999999999886e+01
1.582315418805991888e+09 8.345000000000000195e-01 7.771999999999999886e+01
1.582315418905946016e+09 8.345000000000000195e-01 7.771999999999999886e+01
1.582315419018898010e+09 8.343000000000000416e-01 7.771999999999999886e+01
1.582315419118757963e+09 8.343000000000000416e-01 7.771999999999999886e+01
1.582315419217817068e+09 8.343000000000000416e-01 7.771999999999999886e+01
1.582315419316067934e+09 8.344000000000000306e-01 7.771999999999999886e+01
1.582315419416763067e+09 8.344000000000000306e-01 7.771999999999999886e+01
1.582315419514408112e+09 8.342000000000000526e-01 7.771999999999999886e+01
1.582315419615712881e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315419715764999e+09 8.344000000000000306e-01 7.771999999999999886e+01
1.582315419815706015e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315419914494038e+09 8.342000000000000526e-01 7.771999999999999886e+01
1.582315420028721094e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315420127739906e+09 8.337999999999999856e-01 7.771999999999999886e+01
1.582315420227562904e+09 8.337999999999999856e-01 7.771999999999999886e+01
1.582315420326651096e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315420423209906e+09 8.342000000000000526e-01 7.771999999999999886e+01
1.582315420525664091e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315420620553970e+09 8.336999999999999966e-01 7.771999999999999886e+01
1.582315420725671053e+09 8.338999999999999746e-01 7.771999999999999886e+01
1.582315420824656963e+09 8.338999999999999746e-01 7.771999999999999886e+01
1.582315420935409069e+09 8.338999999999999746e-01 7.771999999999999886e+01
1.582315421035330057e+09 8.342000000000000526e-01 7.771999999999999886e+01
1.582315421135153055e+09 8.336999999999999966e-01 7.771999999999999886e+01
1.582315421234906912e+09 8.343000000000000416e-01 7.771999999999999886e+01
1.582315421334440947e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315421434354067e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315421534177065e+09 8.337999999999999856e-01 7.771999999999999886e+01
1.582315421633977890e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315421733741045e+09 8.343000000000000416e-01 7.771999999999999886e+01
1.582315421848552942e+09 8.345000000000000195e-01 7.771999999999999886e+01
1.582315421947479010e+09 8.343000000000000416e-01 7.771999999999999886e+01
1.582315422047377110e+09 8.344000000000000306e-01 7.771999999999999886e+01
1.582315422147519112e+09 8.343000000000000416e-01 7.771999999999999886e+01
1.582315422241497993e+09 8.338999999999999746e-01 7.771999999999999886e+01
1.582315422346503973e+09 8.337999999999999856e-01 7.771999999999999886e+01
1.582315422445481062e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315422541142941e+09 8.338999999999999746e-01 7.771999999999999886e+01
1.582315422644556046e+09 8.338999999999999746e-01 7.771999999999999886e+01
1.582315422758481979e+09 8.343000000000000416e-01 7.771999999999999886e+01
1.582315422858371973e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315422957326889e+09 8.342000000000000526e-01 7.771999999999999886e+01
1.582315423057307005e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315423156421900e+09 8.342000000000000526e-01 7.771999999999999886e+01
1.582315423256273031e+09 8.338999999999999746e-01 7.771999999999999886e+01
1.582315423355345011e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315423455348969e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315423554392099e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315423668400049e+09 8.336999999999999966e-01 7.771999999999999886e+01
1.582315423768285990e+09 8.342000000000000526e-01 7.771999999999999886e+01
1.582315423867130041e+09 8.342000000000000526e-01 7.771999999999999886e+01
1.582315423967361927e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315424062438965e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315424161283016e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315424260968924e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315424360712051e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315424477099895e+09 8.343000000000000416e-01 7.771999999999999886e+01
1.582315424576730967e+09 8.342000000000000526e-01 7.771999999999999886e+01
1.582315424676702976e+09 8.339999999999999636e-01 7.771999999999999886e+01
1.582315424776463032e+09 8.342000000000000526e-01 7.771999999999999886e+01
1.582315424877355099e+09 8.338999999999999746e-01 7.771999999999999886e+01
1.582315424971800089e+09 8.338999999999999746e-01 7.771999999999999886e+01
1.582315425075504065e+09 8.340999999999999526e-01 7.771999999999999886e+01
1.582315425175285101e+09 8.342000000000000526e-01 7.771999999999999886e+01
