# 
# Duration (in s): 60
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 87.5
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: calibration (liquid nitrogen)
1.582320189293973923e+09 8.193000000000000282e-01 0.000000000000000000e+00
1.582320189386122942e+09 8.195999999999999952e-01 0.000000000000000000e+00
1.582320189481353045e+09 8.195000000000000062e-01 0.000000000000000000e+00
1.582320189585189104e+09 8.194000000000000172e-01 0.000000000000000000e+00
1.582320189699162006e+09 8.194000000000000172e-01 0.000000000000000000e+00
1.582320189799036026e+09 8.195000000000000062e-01 0.000000000000000000e+00
1.582320189898044109e+09 8.194000000000000172e-01 0.000000000000000000e+00
1.582320189997092009e+09 8.195999999999999952e-01 0.000000000000000000e+00
1.582320190096936941e+09 8.197999999999999732e-01 0.000000000000000000e+00
1.582320190196161032e+09 8.195999999999999952e-01 0.000000000000000000e+00
1.582320190296056032e+09 8.195999999999999952e-01 0.000000000000000000e+00
1.582320190390978098e+09 8.201000000000000512e-01 0.000000000000000000e+00
1.582320190509004116e+09 8.199999999999999512e-01 0.000000000000000000e+00
1.582320190608071089e+09 8.203000000000000291e-01 0.000000000000000000e+00
1.582320190707896948e+09 8.202000000000000401e-01 0.000000000000000000e+00
1.582320190806160927e+09 8.203000000000000291e-01 0.000000000000000000e+00
1.582320190907035112e+09 8.201000000000000512e-01 0.000000000000000000e+00
1.582320191006848097e+09 8.206999999999999851e-01 0.000000000000000000e+00
1.582320191105966091e+09 8.197999999999999732e-01 0.000000000000000000e+00
1.582320191204890013e+09 8.199999999999999512e-01 0.000000000000000000e+00
1.582320191304927111e+09 8.194000000000000172e-01 0.000000000000000000e+00
1.582320191415174961e+09 8.193000000000000282e-01 0.000000000000000000e+00
1.582320191514933109e+09 8.194000000000000172e-01 0.000000000000000000e+00
1.582320191614697933e+09 8.192000000000000393e-01 0.000000000000000000e+00
1.582320191714468002e+09 8.188999999999999613e-01 0.000000000000000000e+00
1.582320191814232111e+09 8.195000000000000062e-01 0.000000000000000000e+00
1.582320191913997889e+09 8.193000000000000282e-01 0.000000000000000000e+00
1.582320192009963989e+09 8.194000000000000172e-01 0.000000000000000000e+00
1.582320192113519907e+09 8.191000000000000503e-01 0.000000000000000000e+00
1.582320192228779078e+09 8.193000000000000282e-01 0.000000000000000000e+00
1.582320192327863932e+09 8.193000000000000282e-01 0.000000000000000000e+00
1.582320192427859068e+09 8.191000000000000503e-01 0.000000000000000000e+00
1.582320192526912928e+09 8.193000000000000282e-01 0.000000000000000000e+00
1.582320192625736952e+09 8.193000000000000282e-01 0.000000000000000000e+00
1.582320192725668907e+09 8.193000000000000282e-01 0.000000000000000000e+00
1.582320192824832916e+09 8.194000000000000172e-01 0.000000000000000000e+00
1.582320192924926996e+09 8.193000000000000282e-01 0.000000000000000000e+00
1.582320193035733938e+09 8.191000000000000503e-01 0.000000000000000000e+00
1.582320193137757063e+09 8.187999999999999723e-01 0.000000000000000000e+00
1.582320193237823963e+09 8.188999999999999613e-01 0.000000000000000000e+00
1.582320193336669922e+09 8.189999999999999503e-01 0.000000000000000000e+00
1.582320193436621904e+09 8.192000000000000393e-01 0.000000000000000000e+00
1.582320193535413027e+09 8.189999999999999503e-01 0.000000000000000000e+00
1.582320193635735035e+09 8.191000000000000503e-01 0.000000000000000000e+00
1.582320193734642982e+09 8.191000000000000503e-01 0.000000000000000000e+00
1.582320193848767996e+09 8.189999999999999503e-01 0.000000000000000000e+00
1.582320193946496964e+09 8.193000000000000282e-01 0.000000000000000000e+00
1.582320194043575048e+09 8.191000000000000503e-01 0.000000000000000000e+00
1.582320194145647049e+09 8.188999999999999613e-01 0.000000000000000000e+00
1.582320194241688967e+09 8.191000000000000503e-01 0.000000000000000000e+00
1.582320194341546059e+09 8.188999999999999613e-01 0.000000000000000000e+00
1.582320194441293001e+09 8.186999999999999833e-01 0.000000000000000000e+00
1.582320194539705992e+09 8.192000000000000393e-01 0.000000000000000000e+00
1.582320194657437086e+09 8.186999999999999833e-01 0.000000000000000000e+00
1.582320194757220984e+09 8.187999999999999723e-01 0.000000000000000000e+00
1.582320194854449987e+09 8.188999999999999613e-01 0.000000000000000000e+00
1.582320194956427097e+09 8.192000000000000393e-01 0.000000000000000000e+00
1.582320195056340933e+09 8.187999999999999723e-01 0.000000000000000000e+00
1.582320195150921106e+09 8.188999999999999613e-01 0.000000000000000000e+00
