# 
# Duration (in s): 10
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: calibration at 87.05 degrees pointing down with liquid nitrogen, temperature of horn is 28.39, trial 2
1.581708094819077015e+09 -8.525000000000000355e-01 7.771999999999999886e+01
1.581708094925586939e+09 -8.518999999999999906e-01 7.771899999999999409e+01
1.581708095025202036e+09 -8.518999999999999906e-01 7.772599999999999909e+01
1.581708095139209032e+09 -8.518999999999999906e-01 7.773199999999999932e+01
1.581708095239275932e+09 -8.518000000000000016e-01 7.773199999999999932e+01
1.581708095338238955e+09 -8.467000000000000082e-01 7.773199999999999932e+01
1.581708095438158989e+09 -8.465000000000000302e-01 7.773300000000000409e+01
1.581708095533768892e+09 -8.467000000000000082e-01 7.773300000000000409e+01
1.581708095637326002e+09 -8.467000000000000082e-01 7.773600000000000421e+01
1.581708095732603073e+09 -8.484000000000000430e-01 7.773300000000000409e+01
1.581708095832880020e+09 -8.489999999999999769e-01 7.773300000000000409e+01
1.581708095934349060e+09 -8.490999999999999659e-01 7.773499999999999943e+01
1.581708096045171022e+09 -8.486000000000000210e-01 7.773099999999999454e+01
1.581708096148216009e+09 -8.484000000000000430e-01 7.772899999999999920e+01
1.581708096245814085e+09 -8.496000000000000218e-01 7.772899999999999920e+01
1.581708096344310045e+09 -8.487000000000000099e-01 7.773199999999999932e+01
1.581708096442605019e+09 -8.481999999999999540e-01 7.772899999999999920e+01
1.581708096544040918e+09 -8.493000000000000549e-01 7.772899999999999920e+01
1.581708096647224903e+09 -8.500999999999999668e-01 7.772799999999999443e+01
1.581708096747009993e+09 -8.507000000000000117e-01 7.773099999999999454e+01
1.581708096861011028e+09 -8.495000000000000329e-01 7.772899999999999920e+01
1.581708096959297895e+09 -8.477000000000000091e-01 7.772899999999999920e+01
1.581708097059878111e+09 -8.430999999999999606e-01 7.772799999999999443e+01
1.581708097160024881e+09 -8.434000000000000385e-01 7.772599999999999909e+01
1.581708097255450964e+09 -8.476000000000000201e-01 7.772599999999999909e+01
1.581708097359082937e+09 -8.491999999999999549e-01 7.772199999999999420e+01
1.581708097457854033e+09 -8.478999999999999870e-01 7.772299999999999898e+01
1.581708097557885885e+09 -8.491999999999999549e-01 7.772299999999999898e+01
1.581708097658153057e+09 -8.500999999999999668e-01 7.772299999999999898e+01
1.581708097771780014e+09 -8.493000000000000549e-01 7.772199999999999420e+01
1.581708097868549109e+09 -8.476000000000000201e-01 7.771699999999999875e+01
1.581708097969172001e+09 -8.478999999999999870e-01 7.771699999999999875e+01
1.581708098068068027e+09 -8.484000000000000430e-01 7.771899999999999409e+01
1.581708098167881012e+09 -8.487000000000000099e-01 7.771999999999999886e+01
1.581708098267601967e+09 -8.488999999999999879e-01 7.771999999999999886e+01
1.581708098367372036e+09 -8.488999999999999879e-01 7.771800000000000352e+01
1.581708098463890076e+09 -8.488999999999999879e-01 7.771999999999999886e+01
1.581708098566061020e+09 -8.487000000000000099e-01 7.771999999999999886e+01
1.581708098666663885e+09 -8.484000000000000430e-01 7.772199999999999420e+01
1.581708098781852007e+09 -8.481999999999999540e-01 7.772199999999999420e+01
1.581708098880739927e+09 -8.487000000000000099e-01 7.772100000000000364e+01
1.581708098980882883e+09 -8.485000000000000320e-01 7.772100000000000364e+01
1.581708099079756975e+09 -8.488999999999999879e-01 7.772299999999999898e+01
1.581708099174230099e+09 -8.486000000000000210e-01 7.772299999999999898e+01
