# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): -89.75
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: calibration (ambient)
1.582315088942508936e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315089061031103e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315089160079002e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315089274019003e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315089372980118e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315089472852945e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315089572664976e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315089666882992e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315089771910906e+09 1.557999999999999940e-01 2.742099999999999795e+02
1.582315089870946884e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315089970918894e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315090069931030e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315090183881044e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315090283787966e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315090382697105e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315090482837915e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315090576754093e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315090681708097e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315090780844927e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315090880767107e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315090979732990e+09 1.554999999999999993e-01 2.742099999999999795e+02
1.582315091090545893e+09 1.554999999999999993e-01 2.742099999999999795e+02
1.582315091190586090e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315091290301085e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315091390000105e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315091489697933e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315091589363098e+09 1.557999999999999940e-01 2.742099999999999795e+02
1.582315091689347029e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315091789120913e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315091904602051e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315091999074936e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315092103713036e+09 1.557999999999999940e-01 2.742099999999999795e+02
1.582315092201170921e+09 1.557999999999999940e-01 2.742099999999999795e+02
1.582315092297667027e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315092402808905e+09 1.557999999999999940e-01 2.742099999999999795e+02
1.582315092501754045e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315092601898909e+09 1.557999999999999940e-01 2.742099999999999795e+02
1.582315092700725079e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315092814627886e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315092913614988e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315093013654947e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315093111363888e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315093212543011e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315093311614037e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315093411349058e+09 1.557999999999999940e-01 2.742099999999999795e+02
1.582315093511667967e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315093624739885e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315093724565983e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315093823596001e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315093923463106e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315094019898891e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315094117587090e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315094222551107e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315094321508884e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315094421454906e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315094515913963e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315094632206917e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315094733350992e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315094831840992e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315094929193020e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315095031342030e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315095130873919e+09 1.557000000000000051e-01 2.742099999999999795e+02
1.582315095230864048e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315095330634117e+09 1.555999999999999883e-01 2.742099999999999795e+02
1.582315095445348978e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315095544351101e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315095644328117e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315095742593050e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315095843271971e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315095942394018e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315096042433977e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315096141271114e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315096241265059e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315096355235100e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315096454240084e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315096552004099e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315096652193069e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315096753252029e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315096852216959e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315096952219963e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315097051273108e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315097151170969e+09 1.557999999999999940e-01 2.741999999999999886e+02
1.582315097265253067e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315097364243031e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315097464184999e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315097560682058e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315097658729076e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315097758038044e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315097857842922e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315097957699060e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315098061100960e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315098156572104e+09 1.554999999999999993e-01 2.741999999999999886e+02
1.582315098273595095e+09 1.557999999999999940e-01 2.741999999999999886e+02
1.582315098373368025e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315098468141079e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315098572801113e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315098672543049e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315098772181034e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315098871953011e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315098970102072e+09 1.557000000000000051e-01 2.741999999999999886e+02
1.582315099085022926e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315099184082985e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315099284066916e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315099383995056e+09 1.555999999999999883e-01 2.741999999999999886e+02
1.582315099483103991e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315099583168030e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315099681926966e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315099782097101e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315099880912066e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315099995059967e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315100095021009e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315100193949938e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315100293904066e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315100392997026e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315100491987944e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315100591846943e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315100692053080e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315100791100025e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315100887656927e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315100999985933e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315101100188017e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315101199958086e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315101299689054e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315101399477005e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315101499218941e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315101598984003e+09 1.557000000000000051e-01 2.741899999999999977e+02
1.582315101698945999e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315101814784050e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315101914773941e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315102013859034e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315102114006996e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315102212735891e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315102312825918e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315102411742926e+09 1.555999999999999883e-01 2.741999999999999886e+02
