# 
# Duration (in s): 60
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): 79.75
# Calibrator used: YES
# Weather: very clear
# Units: tenth microWatt
# Comments: sky dip 80
1.582319840650783062e+09 5.504999999999999893e-01 0.000000000000000000e+00
1.582319840770049095e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319840869827986e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319840985557079e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319841082462072e+09 5.504999999999999893e-01 0.000000000000000000e+00
1.582319841184617043e+09 5.505999999999999783e-01 0.000000000000000000e+00
1.582319841284462929e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319841382695913e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319841482516050e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319841579713106e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319841678803921e+09 5.504999999999999893e-01 0.000000000000000000e+00
1.582319841790514946e+09 5.503000000000000114e-01 0.000000000000000000e+00
1.582319841894156933e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319841991198063e+09 5.503000000000000114e-01 0.000000000000000000e+00
1.582319842094460964e+09 5.503000000000000114e-01 0.000000000000000000e+00
1.582319842193500996e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319842293387890e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319842392431974e+09 5.503000000000000114e-01 0.000000000000000000e+00
1.582319842491239071e+09 5.503000000000000114e-01 0.000000000000000000e+00
1.582319842589062929e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319842705382109e+09 5.503000000000000114e-01 0.000000000000000000e+00
1.582319842804346085e+09 5.504999999999999893e-01 0.000000000000000000e+00
1.582319842901783943e+09 5.505999999999999783e-01 0.000000000000000000e+00
1.582319843000586033e+09 5.504999999999999893e-01 0.000000000000000000e+00
1.582319843103323936e+09 5.503000000000000114e-01 0.000000000000000000e+00
1.582319843197622061e+09 5.501000000000000334e-01 0.000000000000000000e+00
1.582319843297405005e+09 5.502000000000000224e-01 0.000000000000000000e+00
1.582319843397063017e+09 5.504999999999999893e-01 0.000000000000000000e+00
1.582319843513442993e+09 5.504999999999999893e-01 0.000000000000000000e+00
1.582319843613281012e+09 5.503000000000000114e-01 0.000000000000000000e+00
1.582319843713063002e+09 5.504999999999999893e-01 0.000000000000000000e+00
1.582319843812825918e+09 5.504999999999999893e-01 0.000000000000000000e+00
1.582319843908205986e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319844009635925e+09 5.504000000000000004e-01 0.000000000000000000e+00
1.582319844111383915e+09 5.503000000000000114e-01 0.000000000000000000e+00
1.582319844211283922e+09 5.504000000000000004e-01 0.000000000000000000e+00
